"ORDER_ID","ORDER_ITEM_ID","MATNR","QUANTITY","TOTAL_PRICE"
"2,024","2,024","19106665",1,"2,700"
"2,024","2,025","19049635",1,"36,900"
"2,241","2,221","19086648",1,"6,900"
"2,321","2,281","19110489",1,"7,900"
"2,341","2,301","19086648",1,"6,900"
"2,341","2,302","19086655",1,"3,490"
"2,422","2,382","19104920",1,"6,900"
"2,442","2,403","19062438",1,"18,500"
"2,481","2,421","19110830",1,"9,900"
"2,561","2,483","19077657",1,"22,400"
"2,561","2,484","19077658",1,"6,900"
"2,641","2,561","19096159",1,"11,500"
"2,682","2,602","19111249",1,"27,900"
"2,781","2,701","19047937",1,"3,640"
"2,781","2,702","19047936",1,"1,050"
"2,781","2,703","59008843",1,"19,900"
"3,121","3,041","19090826",1,"5,460"
"3,202","3,122","19090399",1,"1,750"
"3,202","3,123","19038032",1,"2,900"
"3,202","3,124","19111271",1,"4,830"
"3,261","3,181","59004665",1,"9,900"
"3,262","3,182","19077852",1,"3,300"
"3,341","3,261","59008061",1,"15,500"
"3,403","3,325","19112683",1,"30,900"
"3,461","3,381","19110751",1,"6,930"
"3,681","3,601","59008485",1,"19,900"
"3,781","3,701","19112398",1,"3,150"
"3,962","3,863","19077060",1,"3,900"
"4,001","3,901","59001239",1,"43,900"
"4,021","3,921","19111271",1,"4,830"
"4,021","3,922","19111255",1,"8,540"
"4,021","3,923","19077254",1,"1,190"
"4,021","3,924","19101652",1,"3,190"
"4,101","4,001","19077156",15,"108,000"
"4,101","4,002","19068822",6,"16,200"
"4,101","4,003","19041342",21,"46,200"
"4,101","4,004","19041349",15,"13,500"
"4,121","4,021","19109094",1,"3,900"
"4,221","4,121","59010019",1,"26,180"
"4,461","4,301","19111578",1,"9,900"
"4,621","4,461","19111306",1,"11,200"
"4,621","4,462","19111272",1,"4,830"
"4,701","4,541","19047931",1,"5,530"
"4,701","4,542","19089735",1,"6,900"
"4,941","4,761","19078049",1,"26,600"
"5,021","4,841","19055860",1,"7,900"
"5,221","5,021","19112403",1,"1,680"
"5,221","5,022","19112395",1,"1,680"
"5,241","5,041","59010064",1,"4,900"
"5,241","5,042","59003359",1,"15,500"
"5,341","5,141","19111284",1,"5,950"
"5,341","5,142","19111290",1,"5,600"
"5,342","5,143","25016983",4,"1,560"
"5,343","5,144","19089735",2,"13,800"
"5,361","5,161","19036595",1,"2,450"
"5,441","5,261","19111293",1,"2,800"
"5,441","5,262","19110767",1,"5,600"
"5,561","5,381","19111299",1,"3,010"
"5,561","5,382","19111287",1,"5,250"
"5,561","5,383","19111284",1,"5,950"
"5,561","5,384","19111281",2,"11,200"
"5,741","5,530","59008209",1,"39,900"
"5,742","5,531","19110489",1,"7,900"
"5,822","5,581","19089069",1,"29,900"
"5,841","5,601","19096195",1,"16,400"
"6,001","5,741","19080289",1,"4,990"
"6,041","5,781","19096177",1,"8,190"
"6,064","5,805","59003139",1,"12,825"
"6,102","5,826","19110751",1,"6,930"
"6,121","5,841","19067791",1,"3,290"
"6,161","5,863","19086651",1,"3,590"
"6,541","6,261","19090653",1,"2,090"
"6,721","6,412","19101668",1,"5,600"
"7,021","6,681","19091930",1,"9,900"
"7,021","6,682","19101786",1,"1,470"
"7,022","6,683","25017218",1,990
"7,027","6,689","59006531",1,"15,900"
"7,081","6,741","19077083",1,"13,615"
