"ITEM_ID","IDEABOOK_ID","MATNR","INSPIRATION_ID","IMAGE_ID","ITEM_TYPE","PHOTO_ID"
"2,002",981,,144,,INSPIRATION,
"3,103","3,225","19014714",,,MDM_CYBER,
"3,104","3,225","59008884",,,MDM_CYBER,
"3,149","3,330","19077181",,,MDM_CYBER,
"3,323","3,501","19055703",,,MDM_CYBER,
"3,324","3,501","19076067",,,MDM_CYBER,
"3,325","3,501","19096333",,,MDM_CYBER,
"3,327","3,502","19080353",,,MDM_CYBER,
"3,329","3,344","19089592",,,MDM_CYBER,
"3,330","3,345","19091631",,,MDM_CYBER,
"3,346","3,542","19045724",,,MDM_CYBER,
"3,361","3,515","19091483",,,MDM_CYBER,
"3,363","3,506","19077807",,,MDM_CYBER,
"3,364","3,542","19071430",,,MDM_CYBER,
"3,444","3,691","19106684",,,MDM_CYBER,
"3,484","3,842","19101637",,,MDM_CYBER,
"3,603","4,040",,121,,INSPIRATION,
"3,644","4,105",,"2,061",,INSPIRATION,
"3,663","4,120","19023350",,,MDM_CYBER,
"3,704","3,381","19044405",,,MDM_CYBER,
"3,709","4,409","19076896",,,MDM_CYBER,
"3,710","4,409","19077089",,,MDM_CYBER,
"3,727","4,432","19097682",,,MDM_CYBER,
"3,785","4,703","19109649",,,MDM_CYBER,
"3,862","4,933",,"2,201",,INSPIRATION,
"3,865","4,933",,"2,041",,INSPIRATION,
"3,902","5,026",,,,PHOTO,"2,171"
"3,922","3,825","59001307",,,MDM_CYBER,
"3,942","5,086",,"2,143",,INSPIRATION,
"4,143","5,785","19109908",,,MDM_CYBER,
"4,146","5,785","25017027",,,MDM_CYBER,
"4,147","5,785","25015802",,,MDM_CYBER,
"4,149","5,785","25017212",,,MDM_CYBER,
"4,150","5,785","25017224",,,MDM_CYBER,
"4,162","5,801","59007711",,,MDM_CYBER,
"4,164","5,801","59007734",,,MDM_CYBER,
"4,165","5,801","19111274",,,MDM_CYBER,
"4,184","5,842","19063796",,,MDM_CYBER,
"4,186","5,842","19094078",,,MDM_CYBER,
"4,203","5,860",,"2,141",,INSPIRATION,
"4,205","5,859",,146,,INSPIRATION,
"4,282","5,982",,"2,281",,INSPIRATION,
"4,303","6,047",,"2,261",,INSPIRATION,
"4,304","6,045","19092203",,,MDM_CYBER,
"4,343","5,165","19093164",,,MDM_CYBER,
"4,462","6,502","59007530",,,MDM_CYBER,
"4,473","6,508","25022523",,,MDM_CYBER,
"4,482","3,381","19036583",,,MDM_CYBER,
"4,546","6,544","25013751",,,MDM_CYBER,
"4,553","6,544","25017022",,,MDM_CYBER,
"4,556","6,544","25017380",,,MDM_CYBER,
"4,558","6,545","25016972",,,MDM_CYBER,
"4,560","6,545","25016967",,,MDM_CYBER,
"4,562","6,545","25017682",,,MDM_CYBER,
"4,564","6,547","25017217",,,MDM_CYBER,
"4,567","6,547","25017219",,,MDM_CYBER,
"4,569","6,545","25015923",,,MDM_CYBER,
"4,570","6,549","25017688",,,MDM_CYBER,
"4,572","6,551","25015967",,,MDM_CYBER,
"4,574","6,551","25015973",,,MDM_CYBER,
"4,577","6,551","25015554",,,MDM_CYBER,
"4,588","6,553","25017621",,,MDM_CYBER,
"4,592","6,553","25017725",,,MDM_CYBER,
"4,595","6,553","25017714",,,MDM_CYBER,
"4,626","6,562","59006946",,,MDM_CYBER,
"4,691","6,644","19089574",,,MDM_CYBER,
"4,765","6,886","19031450",,,MDM_CYBER,
"4,868","7,229",,,,PHOTO,"2,461"
"4,869","7,229",,,,PHOTO,"2,281"
"4,928","7,346","19070691",,,MDM_CYBER,
"5,146","7,721","59007630",,,MDM_CYBER,
"5,162","7,768","25017695",,,MDM_CYBER,
"5,205","7,883","19101666",,,MDM_CYBER,
"5,208","7,884","19031690",,,MDM_CYBER,
"5,264","8,045","19056328",,,MDM_CYBER,
"5,282","8,267",,,,PHOTO,"2,681"
"5,283","8,267",,,,PHOTO,"2,583"
"5,324","8,531",,"2,365",,INSPIRATION,
"5,442","8,821","19111269",,,MDM_CYBER,
"5,462","8,821","59008633",,,MDM_CYBER,
"5,482","8,821","19110329",,,MDM_CYBER,
"5,523","8,960","59001308",,,MDM_CYBER,
"5,542","8,981","19108850",,,MDM_CYBER,
"5,544","8,983","19101656",,,MDM_CYBER,
"5,545","8,983","19101655",,,MDM_CYBER,
"5,547","8,981","19036583",,,MDM_CYBER,
"5,564","9,060","19110738",,,MDM_CYBER,
"5,567","9,060","19076897",,,MDM_CYBER,
"5,662","9,266","19098013",,,MDM_CYBER,
"5,682","9,269","59009438",,,MDM_CYBER,
"5,683","9,269","59008731",,,MDM_CYBER,
"5,684","9,269","59008732",,,MDM_CYBER,
"5,686","9,269","59007665",,,MDM_CYBER,
"5,687","9,269","59002902",,,MDM_CYBER,
"5,688","9,269","19077470",,,MDM_CYBER,
"5,690","9,269","19100702",,,MDM_CYBER,
"5,702","9,060","19076896",,,MDM_CYBER,
"5,710","9,302","19110850",,,MDM_CYBER,
"5,723","9,341","19109482",,,MDM_CYBER,
"5,762","9,384","19038032",,,MDM_CYBER,
"5,782","9,384","19105351",,,MDM_CYBER,
"5,802","9,422","19110765",,,MDM_CYBER,
"5,842","9,501","19077271",,,MDM_CYBER,
"5,942","9,802","25015721",,,MDM_CYBER,
"5,944","9,802","25017543",,,MDM_CYBER,
"6,025","10,305","59010069",,,MDM_CYBER,
"6,043","10,329","19096176",,,MDM_CYBER,
"6,055","10,341","19077083",,,MDM_CYBER,
"6,163","10,660","59010108",,,MDM_CYBER,
"6,166","10,663","19106905",,,MDM_CYBER,
"6,184","10,683","59010150",,,MDM_CYBER,
"6,270","10,807","59006451",,,MDM_CYBER,
"6,275","10,807","19112395",,,MDM_CYBER,
"6,276","10,341","19096340",,,MDM_CYBER,
"6,291","10,813","19037401",,,MDM_CYBER,
"6,292","10,813","19042780",,,MDM_CYBER,
"6,293","10,813","19042779",,,MDM_CYBER,
"6,296","10,813","19096183",,,MDM_CYBER,
"6,300","10,813","19086639",,,MDM_CYBER,
"6,302","10,341","19111535",,,MDM_CYBER,
