"ITEM_ID","CART_ID","MATNR","QUANTITY","TOTAL_PRICE","DESCRIPTION","NORMAL_PRICE","F_CANBUY","PROMO_REC_ID","PROMO_CART_ITEM_ID","SOFTNESS_ID"
"3,201","3,122","19042767",1,"16,800",,"16,800",Y,,,
"3,425","3,302","59007616",1,"64,900",,"64,900",Y,,,
"3,448","3,343","19058098",1,"31,400",,"31,400",Y,,,
"4,779","4,888","19045725",1,"6,650",,"6,650",Y,,,
"3,242","3,143","19111304",1,"15,400",,"15,400",Y,,,
"112,143","116,532","19111301",1,"5,250",,"5,250",Y,,,
"3,483","3,382","19080297",1,"28,900",,"28,900",Y,,,
"26,087","28,958","19077088",1,"2,079",,"2,079",Y,,,
"9,225","9,904","19110082",1,"5,670",,"5,670",Y,,,
"3,581","3,482","19097833",1,"8,610",,"8,610",Y,,,
"10,421","11,363","19110765",1,"7,900",,"7,900",Y,,,
"3,586","3,503","19110082",1,"5,670",,"5,670",Y,,,
"3,587","3,483","19088986",1,"8,900",,"8,900",Y,,,
"3,589","3,503","19110086",1,"3,150",,"3,150",Y,,,
"112,242","117,242","25024869",1,392,,392,Y,,,
"3,592","3,463","25015938",1,199,,199,Y,,,
"3,721","3,682","19086672",1,"10,900",,"10,900",Y,,,
"3,722","3,682","19086678",1,"19,950",,"19,950",Y,,,
"3,744","3,703","19042798",1,"19,950",,"19,950",Y,,,
"3,746","3,704","19089163",1,"11,500",,"11,500",Y,,,
"3,748","3,703","19077689",1,"9,300",,"9,300",Y,,,
"3,762","3,722","19088984",1,"5,900",,"5,900",Y,,,
"4,305","4,362","19055902",1,"15,700",,"15,700",Y,,,
"3,902","3,923","19077275",1,"2,390",,"2,390",Y,,,
"78,136","84,206","19090888",1,"9,200",,"9,200",Y,,,
"112,151","59,623","19125903",1,"18,900",,"18,900",Y,,,
"78,138","84,207","19087908",1,"39,900",,"39,900",Y,,,
"26,084","28,958","19070063",1,"2,079",,"2,079",Y,,,
"112,212","117,162","25025838",1,390,,390,Y,,,
"7,561","8,062","19078314",1,"29,400",,"29,400",Y,,,
"112,152","59,623","19125902",1,"18,900",,"18,900",Y,,,
"26,085","28,958","19070063",1,"2,079",,"2,079",Y,,,
"26,089","28,462","19112396",1,"2,380",,"2,380",Y,,,
"4,198","4,302","19077083",1,"13,615",,"13,615",Y,,,
"4,199","4,302","19097694",1,"3,990",,"3,990",Y,,,
"4,284","4,402","19068258",9,"22,050",,"2,450",Y,,,
"4,342","4,502","19110342",1,"11,060",,"11,060",Y,,,
"4,343","4,502","19101642",1,"6,580",,"6,580",Y,,,
"4,421","4,444","59007251",1,"28,900",,"28,900",Y,,,
"26,090","28,462","25023348",1,890,,890,Y,,,
"5,225","5,382","19106685",1,"1,990",,"1,990",Y,,,
"4,961","4,322","19031471",1,"7,200",,"7,200",Y,,,
"112,206","117,162","19115478",1,"8,500",,"8,500",Y,,,
"4,962","4,322","19090407",1,"6,300",,"6,300",Y,,,
"4,922","5,062","19109094",1,"4,800",,"4,800",Y,,,
"4,923","5,062","19109095",1,"3,500",,"3,500",Y,,,
"5,004","5,162","19088808",1,"17,900",,"17,900",Y,,,
"26,101","28,962","19045751",1,"12,750",,"12,750",Y,,,
"5,226","5,382","19101652",1,"3,190",,"3,190",Y,,,
"112,214","117,162","25025846",1,199,,199,Y,,,
"26,121","28,982","19071519",1,"1,690",,"1,690",Y,,,
"5,261","5,482","25017287",1,190,,190,Y,,,
"112,256","117,265","19060546",1,"5,400",,"5,400",Y,,,
"112,258","117,265","19063795",1,"6,860",,"6,860",Y,,,
"5,502","5,722","25017635",1,190,,190,Y,,,
"5,443","5,682","19071113",2,"3,780",,"1,890",Y,,,
"5,522","5,763","59009744",1,"21,960",,"21,960",Y,,,
"9,373","10,085","19077241",1,"2,900",,"2,900",Y,,,
"9,404","10,085","19005144",1,"2,550",,"2,550",Y,,,
"26,143","29,022","19070040",1,"14,350",,"14,350",Y,,,
"26,141","29,022","19111306",1,"11,200",,"11,200",Y,,,
"5,801","6,042","59008061",1,"15,500",,"15,500",Y,,,
"5,803","6,042","19041146",1,"2,190",,"2,190",Y,,,
"6,150","6,442","19096187",1,"3,900",,"3,900",Y,,,
"8,023","8,642","19000855",1,"3,990",,"3,990",Y,,,
"11,405","6,662","19100904",1,975,,975,Y,,,
"6,441","6,783","19042702",1,"11,900",,"11,900",Y,,,
"6,445","6,783","19071521",1,"2,380",,"2,380",Y,,,
"78,392","83,907","19088106",1,"15,900",,"15,900",Y,,,
"78,395","83,907","19120623",1,"9,900",,"9,900",Y,,,
"6,507","6,842","25017389",1,650,,650,Y,,,
"6,509","6,842","19072345",1,"11,900",,"11,900",Y,,,
"6,561","6,923","59007296",1,"20,900",,"20,900",Y,,,
"11,201","11,365","19077094",1,630,,630,Y,,,
"78,231","84,302","19090826",1,"3,900",,"3,900",Y,,,
"10,182","11,123","19111578",1,"9,900",,"9,900",Y,,,
"8,510","9,102","19063795",1,"6,860",,"6,860",Y,,,
"7,064","7,424","59008822",1,"28,900",,"28,900",Y,,,
"7,081","7,462","19045815",1,"1,590",,"1,590",Y,,,
"7,201","7,662","19068874",1,"24,900",,"24,900",Y,,,
"7,221","7,702","59010055",1,"26,900",,"26,900",Y,,,
"78,394","83,907","19121606",1,"7,900",,"7,900",Y,,,
"9,761","10,562","19081434",1,"5,320",,"5,320",Y,,,
"7,562","8,062","19111928",1,"28,900",,"28,900",Y,,,
"11,200","11,365","19077277",1,"3,990",,"3,990",Y,,,
"7,942","8,562","19056331",1,"17,900",,"17,900",Y,,,
"8,221","8,842","19051629",1,"5,810",,"5,810",Y,,,
"8,330","8,925","19044846",1,"4,200",,"4,200",Y,,,
"8,453","9,046","19062263",1,"4,100",,"4,100",Y,,,
"8,509","9,102","19096186",1,"3,900",,"3,900",Y,,,
"11,521","12,442","19080370",1,"22,100",,"22,100",Y,,,
"8,863","9,444","19029453",1,"2,870",,"2,870",Y,,,
"8,650","9,262","19026283",1,"16,800",,"16,800",Y,,,
"8,651","9,262","19097693",1,"3,990",,"3,990",Y,,,
"26,163","25,623","19111284",1,"5,690",,"5,690",Y,,,
"8,864","9,444","19110087",1,"1,960",,"1,960",Y,,,
"9,072","9,686","19041480",1,"7,900",,"7,900",Y,,,
"9,077","6,862","19086639",1,"1,750",,"1,750",Y,,,
"78,443","84,425","19063492",1,"6,230",,"6,230",Y,,,
"112,267","117,266","19088103",1,"5,400",,"5,400",Y,,,
"26,162","25,623","19111281",2,"10,780",,"5,390",Y,,,
"9,342","10,042","19111284",1,"5,950",,"5,950",Y,,,
"78,262","84,342","19086674",1,"12,500",,"12,500",Y,,,
"26,164","29,062","19036616",1,"4,060",,"4,060",Y,,,
"9,412","10,142","19063493",1,"5,250",,"5,250",Y,,,
"9,929","10,745","19071522",2,"4,760",,"2,380",Y,,,
"9,501","10,282","19106651",1,"6,900",,"6,900",Y,,,
"78,446","84,426","59013099",1,"28,900",,"28,900",Y,,,
"11,202","11,365","19112395",1,"1,680",,"1,680",Y,,,
"9,921","10,722","19106653",1,"21,900",,"21,900",Y,,,
"9,663","10,466","19101663",1,"3,700",,"3,700",Y,,,
"10,021","10,862","19111578",1,"9,900",,"9,900",Y,,,
"10,426","11,365","59008404",1,"38,900",,"38,900",Y,,,
"78,272","84,343","19111294",1,"2,800",,"2,800",Y,,,
"78,281","84,346","19085622",1,"11,550",,"11,550",Y,,,
"10,667","11,564","19037177",1,"9,750",,"9,750",Y,,,
"10,364","11,222","19089569",1,"10,900",,"10,900",Y,,,
"11,203","12,102","19090388",2,"9,000",,"4,500",Y,,,
"11,940","12,883","19055860",1,"7,900",,"7,900",Y,,,
"10,587","11,502","19109096",1,"5,300",,"5,300",Y,,,
"10,785","11,683","59008044",1,"17,500",,"17,500",Y,,,
"10,788","11,683","59003352",1,"14,900",,"14,900",Y,,,
"10,793","11,683","19047935",1,"4,900",,"4,900",Y,,,
"12,405","13,362","59006456",1,"15,900",,"15,900",Y,,,
"78,301","84,382","19114496",1,"9,900",,"9,900",Y,,,
"10,902","11,803","19085404",1,"7,900",,"7,900",Y,,,
"10,907","11,683","19041864",1,"5,890",,"5,890",Y,,,
"11,063","11,445","25017719",3,570,,190,Y,,,
"11,061","11,445","25018024",4,"1,160",,290,Y,,,
"11,165","8,482","19077248",1,"16,500",,"16,500",Y,,,
"11,363","12,262","59010162",1,"5,900",,"5,900",Y,,,
"11,281","12,203","19094079",1,"9,900",,"9,900",Y,,,
"11,404","6,662","19027037",1,720,,720,Y,,,
"11,444","9,462","59006481",1,"26,900",,"26,900",Y,,,
"11,563","12,483","19109908",1,"15,900",,"15,900",Y,,,
"11,784","12,724","19086638",1,"11,900",,"11,900",Y,,,
"11,584","12,506","19080289",1,"4,990",,"4,990",Y,,,
"11,683","12,642","19063493",1,"5,250",,"5,250",Y,,,
"11,941","12,883","59008116",1,"20,900",,"20,900",Y,,,
"112,449","117,266","19084562",1,"8,400",,"8,400",Y,,,
"12,283","12,864","19109649",1,"7,800",,"7,800",Y,,,
"12,093","13,042","19041352",1,"2,700",,"2,700",Y,,,
"11,993","12,904","19089099",1,"27,900",,"27,900",Y,,,
"26,362","29,283","19111578",1,"9,900",,"9,900",Y,,,
"12,002","12,922","19015844",1,"6,900",,"6,900",Y,,,
"78,425","84,418","19077715",1,"14,980",,"14,980",Y,,,
"12,183","13,142","59004535",1,"29,500",,"29,500",Y,,,
"12,221","13,182","19070691",1,"6,990",,"6,990",Y,,,
"12,191","13,142","19076182",1,"6,700",,"6,700",Y,,,
"12,192","13,142","19086650",1,"4,900",,"4,900",Y,,,
"12,193","13,142","19097938",1,"3,300",,"3,300",Y,,,
"112,451","117,266","19123187",1,"12,900",,"12,900",Y,,,
"78,429","84,418","19109692",1,"21,450",,"21,450",Y,,,
"12,194","13,142","19086651",1,"3,590",,"3,590",Y,,,
"12,301","13,222","19106902",1,"6,900",,"6,900",Y,,,
"12,197","13,142","19086639",1,"1,750",,"1,750",Y,,,
"12,199","13,162","19096149",1,"7,600",,"7,600",Y,,,
