IDEABOOK_ID,MATNR
3225,19014714
3225,59008884
3330,19077181
3501,19055703
3501,19076067
3501,19096333
3502,19080353
3344,19089592
3345,19091631
3542,19045724
3515,19091483
3506,19077807
3542,19071430
3691,19106684
3842,19101637
4120,19023350
3381,19044405
4409,19076896
4409,19077089
4432,19097682
4703,19109649
3825,59001307
5785,19109908
5785,25017027
5785,25015802
5785,25017212
5785,25017224
5801,59007711
5801,59007734
5801,19111274
5842,19063796
5842,19094078
6045,19092203
5165,19093164
6502,59007530
6508,25022523
3381,19036583
6544,25013751
6544,25017022
6544,25017380
6545,25016972
6545,25016967
6545,25017682
6547,25017217
6547,25017219
6545,25015923
6549,25017688
6551,25015967
6551,25015973
6551,25015554
6553,25017621
6553,25017725
6553,25017714
6562,59006946
6644,19089574
6886,19031450
7346,19070691
7721,59007630
7768,25017695
7883,19101666
7884,19031690
8045,19056328
8821,19111269
8821,59008633
8821,19110329
8960,59001308
8981,19108850
8983,19101656
8983,19101655
8981,19036583
9060,19110738
9060,19076897
9266,19098013
9269,59009438
9269,59008731
9269,59008732
9269,59007665
9269,59002902
9269,19077470
9269,19100702
9060,19076896
9302,19110850
9341,19109482
9384,19038032
9384,19105351
9422,19110765
9501,19077271
9802,25015721
9802,25017543
10305,59010069
10329,19096176
10341,19077083
10663,19106905
10683,59010150
10807,59006451
10807,19112395
10341,19096340
10813,19037401
10813,19042780
10813,19042779
10813,19096183
10813,19086639
10341,19111535
10341,19077277
10881,19096187
6221,19097824
11089,19097330
11089,19093960
11089,19089069
11101,19101644
11261,19111052
11403,59008563
11416,59008341
11416,19077272
11416,19077277
11416,19045749
11425,19110739
11431,19100638
11431,19090935
11425,19035150
11425,19096189
11445,19109482
11449,19096178
4703,19015920
11506,59007630
11511,19077060
11520,19101638
11520,19088987
11520,19081402
11520,19071497
11520,19045919
11520,19050260
11520,19042791
11520,19051974
11520,19023891
11560,19097824
3542,59007665
11642,19077254
11425,19101200
11425,19112184
11425,19110809
11748,19101638
11748,19097683
11748,19086674
11748,19077731
11748,19042803
11748,19023897
11803,19096169
11642,19111275
11831,19106682
11831,19111296
11831,19106679
11830,19106698
11830,19097923
11831,59010049
11830,59003892
11830,59007685
11843,59010076
11843,59001170
11843,59008449
11862,19111578
11900,19109693
5167,19111285
5167,19111300
11921,25015909
12025,19101785
12025,19097694
12062,59003298
12067,59008126
12073,19097688
12073,19042776
12073,19068838
12072,19070692
12072,19037392
12073,19068767
12072,19112411
11830,19027081
12342,19041341
12342,19106682
12342,19111553
12342,19111275
12362,59004664
12362,59004830
12362,59003892
12362,59003881
12366,59003124
12362,59003089
3330,19055519
3345,19088234
3381,19110591
3440,19106679
3440,19096167
3513,59008822
3345,19089758
3515,19090883
3345,19076087
3542,19091930
3542,19071269
3542,25017509
3542,19027089
3691,19090652
3691,19105557
3691,19106683
3691,19111286
3842,19037268
3842,19091918
3842,19091928
3842,19096187
3345,19076090
3905,59008375
3905,59007937
3905,59003359
3905,59000177
3905,59000165
3905,19096152
4101,19101779
4120,19031449
3381,19044412
4409,19024114
4432,19077083
4432,19101785
4432,19085620
4437,59008822
4582,19041860
4785,19097322
4844,19036595
4921,59007253
3542,19098019
3542,19093902
5145,19036586
5167,19041859
5168,19077242
5168,19067482
5785,25017213
5785,25015049
5801,59008824
3600,25014019
5165,19088981
6184,19078321
6184,19095864
6184,19093163
6184,19077420
6460,59008822
6502,19090399
6508,25022525
6508,25022522
6524,25015971
6524,25015964
6524,25014335
6545,25017684
6547,25017220
6547,25017218
6547,25017216
6551,25015970
6553,25017615
6553,25017620
6553,25017489
6553,25017625
6553,25017612
6553,25017614
6553,25017619
6553,25017718
6562,19015920
6562,19077274
6640,59003597
6640,19101644
6640,19101643
6640,59006946
6640,25017104
6640,25015837
6640,19090383
6886,19067348
6886,19031433
7044,25017390
7044,25017389
7210,19110917
7210,19026336
7261,19090937
7308,59003352
7308,59003336
7308,19106678
7346,19029464
7346,19029468
7346,19060299
7346,19067399
7884,19101637
7884,19087090
7884,59009732
7980,59006452
7980,19055902
8045,19089166
8523,19047931
8523,19071896
8526,19096339
8712,19096339
9060,19111255
9060,19097694
9302,19110809
9302,19110810
9302,19110849
9060,19106905
9302,19094073
9060,19094074
9302,19094074
9341,19097677
9422,19063976
9422,19055600
9422,19110329
9363,19096188
9584,19014718
9363,19091927
9364,19091915
9802,25015717
9802,25017696
9802,25015920
3381,19106901
10101,59003597
10162,19058653
10304,19071269
10304,19110851
10341,19088986
10341,19112411
10341,19097682
10341,19096171
10341,19086673
10464,59009994
10464,59008619
10464,59008252
8045,19089165
10781,59007499
10807,59008122
10807,59007630
10807,59008822
10807,59007621
10807,59008017
10807,59006456
10807,19067402
10813,19086668
10813,19047935
10813,19086646
10813,19085620
10813,19047099
6221,19097826
6221,19086674
11089,19111546
11089,19085510
11101,19101666
11141,59004102
11141,59006481
11263,19077060
11323,59010050
11403,59002916
11425,19109482
11431,19077469
11425,19080285
11425,19097823
11425,19097825
11445,19063489
11445,19097819
11448,19096179
11506,59008822
11520,19068743
11520,19068729
3409,19105349
3472,59006660
3506,19056219
3542,19086613
3542,25013554
3546,19088233
3825,59008341
3842,19037267
3544,19094371
3542,19067390
4061,19086638
3905,19096185
3905,59007257
4119,59002916
4119,19037845
4409,19096173
4409,19096191
4409,19112395
4409,59008643
4409,59007902
4432,59008876
4432,59007677
4432,59004870
4582,59008884
4582,19041970
4703,19055861
5006,19051008
5006,19047436
5145,19091003
5165,19031434
5165,19077425
5167,19042355
