NODE,LTEXT
59,ตู้เสื้อผ้าบานเปิดขนาด 47
60,ตู้เสื้อผ้าบานเปิดขนาด 80
61,ตู้เสื้อผ้าบานเปิดขนาด 90
62,ตู้เสื้อผ้าบานเปิดขนาด 93
63,ตู้เสื้อผ้าบานเฟี้ยมขนาด 139
64,ตู้เสื้อผ้าบานเฟี้ยมขนาด 160
65,ตู้เสื้อผ้าบานเฟี้ยมขนาด 185
66,ตู้เสื้อผ้าบานเฟี้ยมขนาด 240
67,ตู้เสื้อผ้าบานเลื่อนขนาด 120
68,ตู้เสื้อผ้าบานเลื่อนขนาด 160
69,ตู้เสื้อผ้าบานเลื่อนขนาด 180
70,ตู้เสื้อผ้าบานเลื่อนขนาด 220
71,ตู้เสื้อผ้าบานเลื่อนขนาด 240
72,ตู้เสื้อผ้าหน้าลิ้นชักขนาด 47
73,ตู้เสื้อผ้าหน้าลิ้นชักขนาด 93
74,ตู้แขวนลิ้นชัก
75,ตู้แขวนหน้าบาน Flap Down
76,ตู้แขวนหน้าบาน Flap Up
77,ตู้แขวนหน้าบานเปิด
78,ตู้โชว์ + วางทีวี ขนาด 150
79,ตู้โชว์ + วางทีวี ขนาด 160
80,ตู้โชว์ + วางทีวี ขนาด 180
81,ตู้โชว์ + วางทีวี ขนาด 200
82,ตู้โชว์ขนาด 40
83,ตู้โชว์ขนาด 60
84,ตู้โชว์ขนาด 90
85,ตู้สูงขนาด 100
86,ตู้สูงขนาด 120
87,ตู้สูงขนาด 150
88,ตู้สูงขนาด 20
89,ตู้สูงขนาด 30
90,ตู้สูงขนาด 40
91,ตู้สูงขนาด 60
92,ตู้สูงขนาด 75
93,ตู้สูงขนาด 80
94,ตู้สูงขนาด 90
95,หน้าบาน Flap Down
96,หน้าบาน Flap Up
97,หน้าบานเปิด
98,หน้าบานเลื่อน
99,หน้าบานตู้เสื้อผ้าเข้ามุม
A0,หน้าบานตู้เสื้อผ้าขนาด 180
A1,หน้าบานตู้เสื้อผ้าขนาด 220
A2,หน้าบานตู้เสื้อผ้าขนาด 47
A3,หน้าบานตู้เสื้อผ้าขนาด 93
A4,หน้าลิ้นชัก
A8,ชั้นแขวนขนาด 180
B1,โซฟาขนาด1.8-2.m
B2,โซฟาขนาด2.5-3m
B3,โซฟาขนาด2-2.5m
B4,โซฟาขนาด3.5-4m
B5,โซฟาขนาด3-3.5m
B6,โซฟาขนาดเล็กกว่า1.8 m
01,เตียง 10 ฟุต
02,เตียง 12 ฟุต
B7,โซฟาขนาดใหญ่กว่า4m
B8,ตู้เตี้ยลิ้นชัก 40
B9,ตู้เสื้อผ้าเข้ามุมบานเปิดขนาด 88
C0,ตู้เสื้อผ้าบานเปิดขนาด 100
C1,ตู้เสื้อผ้าบานเปิดขนาด 185
C2,ตู้เสื้อผ้าหน้าบานเปิด
C3,โต๊ะกลางขนาด 100-119
C4,โต๊ะกลางขนาด 120-140
C5,โต๊ะกลางขนาดเล็กกว่า 100
C6,โต๊ะกลางขนาดใหญ่กว่า 140
C9,โต๊ะทำงานขนาด 180
D0,โต๊ะอาหารขนาด 120-149
D1,โต๊ะอาหารขนาด 150-179
D2,โต๊ะอาหารขนาด 180-199
D3,โต๊ะอาหารขนาด 200-219
D4,โต๊ะอาหารขนาดเล็กกว่า120
D5,ที่นอน 3.5 ฟุต
D6,หน้าบาน Flap
D7,Square Rugs
D8,โต๊ะอาหารขนาด 220-240
D9,โต๊ะอาหารขนาดใหญ่กว่า240
E0,ที่นอน 10 ฟุต
E1,ที่นอน 12 ฟุต
E2,ที่นอน 5 ฟุต
E3,ที่นอน 6 ฟุต
E4,ที่นอน 7 ฟุต
E5,ผนังกล่องขนาด 120
E6,ผนังกล่องขนาด 60
E7,ผนังตกแต่งผ้าขนาด 120
E8,ผนังตกแต่งผ้าขนาด 60
E9,ผนังตกแต่งไม้ขนาด 120
F0,ผนังตกแต่งไม้ขนาด 60
F1,ผนังตกแต่งหนังขนาด 120
F2,ผนังตกแต่งหนังขนาด 60
F3,หน้าบานประตู D-01
F4,หน้าบานประตู D-02
F5,หน้าบานประตู D-03
F6,หน้าบานประตู D-04
F7,หน้าบานประตู D-05
F8,หน้าบานประตู D-06
F9,หน้าบานประตู D-07
G1,หน้าบานประตู D-08
G2,หน้าบานประตู D-09
G3,หน้าบานประตู D-10
G4,หน้าบานประตู D-11
G5,หน้าบานประตู DBL-01
G6,หน้าบานประตู DBL-02
G7,หน้าบานประตู DBL-03
G8,หน้าบานประตู DBL-05
G9,หน้าบานประตู W01
H0,หน้าบานประตู W02
H1,หน้าบานประตู W03
H2,หน้าบานประตู W04
H3,หน้าบานประตู W05
H4,หน้าบานเฟี้ยม
H5,Round Rugs
H6,กล่องบานยกขนาด 60
H7,กล่องลิ้นชักขนาด 60
H8,กล่องโล่งขนาด 60
H9,ชั้นโล่งขนาด 120
T8,ชุดวางทีวี241-270
AA,โครงตู้ขนาด 45
AB,โครงตู้ขนาด 60
AC,โครงตู้ขนาด 60
AD,กล่องโล่งขนาด 120-35
AE,กล่องโล่งขนาด 45-110
AF,กล่องโล่งขนาด 60-110
AG,กล่องโล่งขนาด 90-35
AH,กล่องโล่งขนาด 90-73
AI,หน้าบานขนาด 45-110
AJ,หน้าบานขนาด 45-147
AK,หน้าบานขนาด 45-73
AL,หน้าบานขนาด 50-73
AM,หน้าบานขนาด 60-110
AN,หน้าบานขนาด 60-147
AO,หน้าบานขนาด 60-73
AP,หน้าบานขนาด 75
AQ,กล่องลิ้นชักขนาด 120
AR,กล่องลิ้นชักขนาด 45
AS,กล่องลิ้นชักขนาด 90
AT,หน้าลิ้นชักขนาด 45
AU,กล่องรองเท้าขนาด 45-110
AV,กล่องรองเท้าขนาด 60-110
AW,ตู้สูงขนาด 45
AX,ตู้สูงขนาด 45
AY,โครงตู้ทีวีขนาด 120
AZ,โครงตู้ทีวีขนาด 180
BA,ชั้นโล่งขนาด 45
BI,ผนังตกแต่งกระจกขนาด 120
BJ,ผนังตกแต่งกระจกขนาด 60
BS,Hanging box 40
BT,Hanging box 50
BU,Hanging box 80
BV,Hanging box 100
BW,Shelf 20
BX,Shelf 30
BY,Tall cabinet 50
BZ,Night table 30
CA,Night table 40
CB,Night table 50
CC,Hanging box > 120
Y7,พื้นบนตู้ลิ้นชักขนาด 90
BD,Kitchen Set 120
BE,Kitchen Set 160
BF,Kitchen Set 180
BG,Kitchen Set 200
BH,Kitchen Set 80
BK,Topper 3.5''
BL,Topper 5''
BM,Topper 6''
CD,ตู้เสื้อผ้าบานเปิดขนาดเล็กกว่า 80
S6,ชุดตู้เก็บของ120-150
S7,ชุดตู้เก็บของ151-180
S8,ชุดตู้เก็บของ181-200
S9,ชุดตู้เก็บของ201-240
T1,ชุดตู้เก็บของ241-270
T2,ชุดตู้เก็บของ<120
T3,ชุดตู้เก็บของ>270
T4,ชุดวางทีวี120-150
T5,ชุดวางทีวี151-180
T6,ชุดวางทีวี181-200
T7,ชุดวางทีวี201-240
I0,ชั้นโล่งขนาด 90
I1,ชั้นโล่งขนาด 150
I2,หน้าบานประตู DBL-17
I3,หน้าบานประตู DBL-18
I4,ตู้เสื้อผ้าบานเฟี้ยมขนาด 220
I5,โต๊ะเครื่องแป้งแบบยืนขนาด 120
I6,ผนังตกแต่ง 120
I7,ผนังตกแต่ง 80
I8,ชั้นแขวน 50
I9,ชุดเครื่องนอน
J1,ชั้นแขวนขนาด 40
J2,ชั้นแขวนขนาด 50
J3,ไซด์บอร์ด ขนาด 120
J4,ไซด์บอร์ดขนาด 80
J5,ตุ้เตี้ยขนาด 80
J6,ตู้โชว์ขนาด 180
J7,ตู้โชว์ขนาด 50
J8,ตู้โชว์ชนาด 150
J9,ตู้เตี้ยขนาด 40
K1,ตู้เสื้อผ้าบานเปิดขนาด 120
K2,ตู้เสื้อผ้าบานเปิดขนาด 134
K3,โต๊ะเครื่องแป้งแบบนั่งขนาด 60
K4,โต๊ะเครื่องแป้งแบบยืนขนาด 60
K5,โต๊ะทำงานขนาด 80
K6,โต๊ะแป้งแบบนั่งขนาด 60
K7,ตู้เสื้อผ้าบานเปิดขนาด 220
K8,ตู้เสื้อผ้าบานเลื่อนขนาด 200
K9,โต๊ะทำงานขนาด 45-100
L1,โต๊ะทำงานขนาด 101-150
L2,โต๊ะทำงานขนาด 151-200
L3,โต๊ะทำงานขนาด 200 ขึ้นไป
L4,ตู้เตี้ยขนาด 180
L5,เตียง 3 ฟุต
L6,โต๊ะอาหารขนาดเล็กกว่า 80
L7,โต๊ะอาหารขนาด 80-119
L8,ที่นอน 3 ฟุต
L9,ที่นอนกลม
M1,ชุดเครื่องนอน 3.5 ฟุต
M2,ชุดเครื่องนอน 5 ฟุต
M3,ชุดเครื่องนอน 6 ฟุต
M4,90x100 ซม.
M5,70x90 ซม.
M6,60
M7,90
M8,120
M9,150
N1,180
N2,240
N3,15-90
N4,15-120
N5,30-30
N6,30-60
N7,30-90
N8,30-120
N9,30-150
O1,30-240
O2,60-30
O3,60-60
O4,60-60 (ISF)
O5,60-90
O6,60-120
O7,60-180
O8,90-30
O9,90-90
P1,120-30
P2,120-180
P3,50
P4,400
P5,30-180
P6,90-120
P7,45-120
P8,45-180
P9,45-240
Q1,**Delete**
Q2,**Delete**
Q3,**Delete**
Q4,รีไคล์เนอร์ขนาดเล็กกว่า1.8m
Q5,รีไคล์เนอร์ขนาด1.8-2m
Q6,รีไคล์เนอร์ขนาด2-2.5m
Q7,รีไคล์เนอร์ขนาด2.5-3m
Q8,รีไคล์เนอร์ขนาด3.3.5m
Q9,เตียงขนาดพิเศษ
R1,ตู้โชว์ + วางทีวี ขนาด 220
R2,ตู้โชว์ + วางทีวี ขนาด 240
R3,ตู้โชว์ + วางทีวี ขนาดใหญ่กว่า 240
S3,โต๊ะอาหารขนาดเล็กกว่า120
U1,ชุดวางทีวี>270
S5,โต๊ะอาหารขนาดใหญ่กว่า240
T9,ชุดวางทีวี<120
U2,ชุดผนังตกแต่ง
U3,ชุดครัวKuche (I)
U4,ชุดครัวKuche (L)
U5,ชุดครัวKuche (U)
U6,ซีรีย์ตู้ผ้าWDPlus47
U7,ซีรีย์ตู้ผ้าWDPlus93
V4,กล่องแขวนขนาด 120
W2,ตู้แขวนขนาด 90
W3,ตู้แขวนทีวีขนาด 120
W4,ตู้แขวนทีวีขนาด 180
W5,ผนังตกแต่ง 150
W6,ผนังตกแต่ง 180
W7,ผนังตกแต่ง 30
W8,ผนังตกแต่ง 90
W9,พื้นล่างขนาด 120
X1,พื้นล่างขนาด 180
X2,พื้นล่างขนาด 240
X3,พื้นล่างขนาด 60
X4,พื้นล่างขนาด 90
X5,หน้าบานขนาด 120
X6,หน้าบานขนาด 60
X7,หน้าบานขนาด 90
X8,หน้าลิ้นชักขนาด 120
X9,หน้าลิ้นชักขนาด 180
Y1,หน้าลิ้นชักขนาด 60
Y2,หน้าลิ้นชักขนาด 90
Y3,ตู้โชว์ขนาด 120
Y4,พื้นบนตู้ลิ้นชักขนาด 120
Y5,พื้นบนตู้ลิ้นชักขนาด 180
Y6,พื้นบนตู้ลิ้นชักขนาด 240
R4,ตู้สูงขนาด 160
R5,ตู้สูงขนาด 180
R6,ตู้สูงขนาด 200
R7,ตู้สูงขนาดใหญ่กว่า 200
CI,หน้าบานตู้เสื้อผ้าขนาด 45
BR,รีไคล์เนอร์ขนาดใหญ่กว่า3.5m
U8,ซีรีย์ตู้ผ้าMaxio180
U9,ซีรีย์ตู้ผ้าMaxio230
V1,ชุดห้องนอน(3.5 ฟุต)
V2,ชุดห้องนอน(5 ฟุต)
V3,ชุดห้องนอน(6 ฟุต)
V5,กล่องแขวนขนาด 30
V6,กล่องแขวนขนาด 60
V7,กล่องแขวนขนาด 90
V8,ตู้แขวนขนาด 120
V9,ตู้แขวนขนาด 30
W1,ตู้แขวนขนาด 60
Y8,กรอบขนาด 120
Y9,กรอบขนาด 150
Z1,กรอบขนาด 180
Z2,โครงซุ้มทีวีขนาด 120
Z3,โครงซุ้มทีวีขนาด 150
