"NODE","LTEXT","LTEXT_T"
AW7,Tonio,
AW8,Toronto,
AW9,Tritus,
AX1,Turko,
AX2,Tycoon,
AX3,Uni,
AX4,Unify,
AX5,Urchin,
AX6,Us,
AX7,Utopia,
AX8,Valentino,
AX9,Vanezza,
AY1,Vea,
AY2,Vevien,
AY3,Vinson,
AY4,Vintella,
AY5,Vivana,
AY6,Volozt,
AY7,Walmart,
AY8,Wanda,
AY9,Wandella,
AZ1,Waqar,
AZ2,Warina,
AZ3,Warrick,
AZ4,Warsaw,
AZ5,Washi,
AZ6,Way,
AZ7,Webb,
AZ8,Webra,
AZ9,Webra Plus,
B01,TRN-03,
B02,TRN-04,
B03,TRN-05Translucent,
B04,A220,
B05,FHBT219,
B09,MC324FS2,
B12,MC326,
B17,MCSOHO326P,
B18,MCSOHO345H,
B19,MCSOHO345H/B,
B20,RG292,
B22,SPACE20.10,
B31,CMF 001,
B33,CR-8-1(Natural Stain),
B38,LE - R (F),
B41,LE -3-3,
B45,Pagoda - 3,
B46,Pagoda -4 (S),
B47,pagoda3-2,
B49,PagodaFR,
B50,Palmetto(T),
B59,PL - 2-2,
B63,PL-2-3,
B64,Plus,
B67,SensaiF3(DoubleShade),
B68,SpaceF,
B72,Autumn,
B73,Circle,
B74,Deming,
B76,Hersberg,
B77,Maslow,
B79,Pistila,
B80,Ribbon,
B83,Buddha,
B84,Cork,
B85,Flock,
B86,Garn,
B87,Ging,
B88,Grove,
B89,Koko,
B90,ORB,
B91,POD,
B92,Slam,
B93,Spring,
B94,Spring Baby,
B95,Squirrel,
B96,Winter,
BA1,Webster,
BA2,Wendell,
BA3,Wes,
BA4,Westbrook,
BA5,Western,
BA6,Weston,
BA7,Wilan,
BA8,Wilford,
BA9,Will,
BB1,Willa,
BB2,William,
GQ5,Finny,
BB3,Willy,
FJ3,Emit,
FJ4,Econ,
FJ5,Effect,
FJ6,Equal,
FJ7,Ecomic,
FJ8,Econo,
FJ9,Educate,
FK1,Enigma,
FK2,Emile,
FK3,"0218A",
FK4,"0219B",
FK5,"0229I",
FK6,"0232",
FK7,"0234",
FK8,"0213",
FK9,Tasha,
FL1,Tuary,
FL2,Cathy,
FL3,Czar,
FL4,Choice,
FL5,Chore,
FL6,Cadenze,
FL7,Cava,
FL8,Center,
FL9,Cadenza,
FM1,Unity,
FM2,Unit,
FM3,U-know,
FM4,Lula,
FM5,Yahto,
FM6,Yama,
