MATNR,Style,Cat2,Style_id,Cat2_id
19047936,Vintage,????????????,25,61
19045101,Modern,???? 3 ???????,12,203
19050282,Vintage,???????,25,5
59000365,Contemporary,??????????,5,51
59001810,Modern,??????????,12,51
19049900,Modern,??????????????,12,207
19040929,Modern Italian,???? 3 ???????,16,203
19045046,Modern,???? 4 ???????,12,204
19045211,Contemporary,?????,5,189
59000343,Modern,None,12,538
19042680,Contemporary,???? 3 ???????,5,203
19050326,Luxury Glamorous,???? 2 ???????,10,202
19050327,Luxury Glamorous,???? 4 ???????,10,204
19042726,Modern,???????,12,213
19045832,Modern Italian,?????,16,189
19050328,Luxury Glamorous,???? 2 ???????,10,202
19050345,Luxury Glamorous,???????,10,74
19047934,Vintage,???????,25,74
19049891,Modern Classic,???? 2 ???????,14,202
19050324,Luxury Glamorous,???? 2 ???????,10,202
19050325,Luxury Glamorous,???? 4 ???????,10,204
19045031,Modern,???????????????,12,209
19045032,Modern,???????????????,12,209
19035030,Modern Italian,????????????????????,16,69
19042705,Modern Chic,???? 3 ???????,13,203
19046676,Modern,???? 2 ???????,12,202
19049870,Modern,??????,12,64
19049871,Modern,?????????,12,257
59000712,Modern Classic,????????????????,14,251
59000614,Contemporary,None,5,538
19049890,Modern Classic,???? 1 ???????,14,201
19040787,Contemporary,???? 3 ???????,5,203
19049898,Neo Baroque,????????????,19,143
59002374,Contemporary,??????????,5,51
19046693,Industrial,???? 2 ???????,7,202
19046694,Industrial,???? 1 ???????,7,201
19049868,Modern,???????????????,12,66
19045091,Contemporary,???????????????,5,209
19046691,Modern,??????????????,12,207
19042344,Contemporary,?????,5,189
19042354,Contemporary,????????????,5,9
19046677,Modern,??????????????,12,207
19046678,Modern,???????????????,12,209
59002440,Contemporary,None,5,538
19049904,Modern,???????,12,188
19052065,Modern,????,12,121
19031688,Modern Italian,????????????,16,9
19031689,Modern Italian,????????????,16,9
19052163,Vintage,??????????????????,25,68
19052165,Vintage,???????????????,25,67
19035027,Modern Italian,?????,16,189
19049901,Contemporary,??????????????,5,207
19052167,Vintage,???????,25,74
19040923,Modern,??????????????????????,12,226
19050458,Vintage,????????????,25,78
19042701,Modern,???????????????,12,233
19042702,Scandinavian,???????????????,23,223
59002430,Contemporary,??????????,5,51
59000356,Modern,??????????????,12,52
19039979,Modern,???????????????????,12,173
19039993,Modern,??????????????????????,12,216
59002497,Contemporary,??????????????,5,52
19031684,Modern Italian,?????????????????????,16,254
19050414,Vintage,????????????? ?,25,28
19050430,Vintage,???????,25,119
19050440,Vintage,?????????,25,186
19052062,Ecolism,????????????????,6,172
19050011,Contemporary,????? + ??????????????,5,100
19047937,Vintage,?????????,25,257
19047940,Modern,??????????????????,12,68
59000601,None,None,306,538
59000606,Contemporary,????????????????,5,248
19045177,Modern,??????????????????,12,180
59001235,Contemporary,None,5,538
19050470,Modern,??????????????,12,207
19050601,Modern,????????????,12,143
19088346,Modern Italian,?????,16,189
19027121,Contemporary,????????????????????,5,175
19027122,Contemporary,?????,5,189
19050412,Vintage,?????????????,25,198
19039931,Scandinavian,???????????????????????,23,145
19039934,Scandinavian,???????????????,23,223
19045213,Contemporary,?????,5,189
19051009,Luxury,?????????,9,257
59001510,Vintage,?????,25,189
19052162,Vintage,????????????,25,61
19000158,Contemporary,??????????????????????,5,216
19050459,Vintage,?????????????,25,198
19052160,Vintage,?????,25,189
19049996,Contemporary,????? + ??????????????,5,100
59000607,Contemporary,None,5,538
19046690,Contemporary,???? 1 ???????,5,201
