MATNR,Model,Color,Style,Cat2,Model_id,Color_id,Style_id,Cat2_id
19047936,Patisia,White,Vintage,ตู้ข้างเตียง,2886,16,24,61
19045101,Cannery,Yellow,Modern,โซฟา 3 ที่นั่ง,719,17,12,203
19050282,zNone,Multi-Colour,Vintage,กรอบรูป,8226,10,24,5
59000365,Meudon,Black,Contemporary,ชุดห้องนอน,2542,1,5,51
59001810,Alicia,White,Modern,ชุดห้องนอน,295,16,12,51
19049900,Santana,White,Modern,โซฟาเข้ามุมขวา,3107,16,12,207
19040929,Bella,Brown,Modern Italian,โซฟา 3 ที่นั่ง,564,3,16,203
19045046,Jovi,Black,Modern,โซฟา 4 ที่นั่ง,2040,1,12,204
19045211,Grazia,Brown Dark,Contemporary,เตียง,1519,4,5,189
59000343,Koloze,Brown Dark,Modern,zNone,2139,4,12,4566
19042680,Kokoro,Purple,Contemporary,โซฟา 3 ที่นั่ง,2137,14,5,203
19050326,Levonn,White,Luxury Glamorous,โซฟา 2 ที่นั่ง,2299,16,10,202
19050327,Latanya,Grey,Luxury Glamorous,โซฟา 4 ที่นั่ง,2238,9,10,204
19042726,Ives,Purple,Modern,โซฟาเบด,1965,14,12,213
19045832,Maxio,White,Modern Italian,เตียง,2490,16,16,189
19050328,Latanya,Grey,Luxury Glamorous,โซฟา 2 ที่นั่ง,2238,9,10,202
19050345,Yitta,Grey,Luxury Glamorous,ตู้โชว์,3786,9,10,74
19047934,Patisia,White,Vintage,ตู้โชว์,2886,16,24,74
19049891,Kabira,Grey,Modern Classic,โซฟา 2 ที่นั่ง,2056,9,14,202
19050324,Leewan,Grey,Luxury Glamorous,โซฟา 2 ที่นั่ง,2264,9,10,202
19050325,Levonn,White,Luxury Glamorous,โซฟา 4 ที่นั่ง,2299,16,10,204
19045031,Mamara,Brown,Modern,โซฟาเข้ามุมซ้าย,2444,3,12,209
19045032,Mamara,Yellow,Modern,โซฟาเข้ามุมซ้าย,2444,17,12,209
19035030,Exio,Black,Modern Italian,ตู้เสื้อผ้าบานเฟี้ยม,1245,1,16,69
19042705,Angela,Yellow,Modern Chic,โซฟา 3 ที่นั่ง,366,17,13,203
19046676,Coco,Red,Modern,โซฟา 2 ที่นั่ง,877,15,12,202
19049870,Terminus,Brown Dark,Modern,ตู้สูง,3341,4,12,64
19049871,Terminus,Brown Dark,Modern,ไซด์บอร์ด,3341,4,12,257
59000712,Jocasta,White,Modern Classic,โต๊ะอาหารไม้ล้วน,2021,16,14,251
59000614,Hybrid,zNone,Contemporary,zNone,1695,4327,5,4566
19049890,Kabira,Grey,Modern Classic,โซฟา 1 ที่นั่ง,2056,9,14,201
19040787,Perto,Yellow,Contemporary,โซฟา 3 ที่นั่ง,2912,17,5,203
19049898,Kent,Grey,Neo Baroque,อาร์มแชร์ผ้า,2109,9,19,143
59002374,Hunnah,Brown Dark,Contemporary,ชุดห้องนอน,1688,4,5,51
19046693,Jester,Brown,Industrial,โซฟา 2 ที่นั่ง,2009,3,7,202
19046694,Jester,Brown,Industrial,โซฟา 1 ที่นั่ง,2009,3,7,201
19049868,Terminus,Brown Dark,Modern,ตู้เตี้ยบานเปิด,3341,4,12,66
19045091,Akiko,Brown,Contemporary,โซฟาเข้ามุมซ้าย,261,3,5,209
19046691,Krisma,Black,Modern,โซฟาเข้ามุมขวา,2151,1,12,207
19042344,Contena,Brown Dark,Contemporary,เตียง,913,4,5,189
19042354,Contena,Brown Dark,Contemporary,กระจกแบบแขวน,913,4,5,9
19046677,Avinash,Black,Modern,โซฟาเข้ามุมขวา,507,1,12,207
19046678,Avinash,Black,Modern,โซฟาเข้ามุมซ้าย,507,1,12,209
59002440,Hunnah,zNone,Contemporary,zNone,1688,4327,5,4566
19049904,Camily,White,Modern,เดย์เบด,700,16,12,188
19052065,Kaan,Grey,Modern,สตูล,2055,9,12,121
19031688,Exio,White,Modern Italian,กระจกแบบแขวน,1245,16,16,9
19031689,Exio,White,Modern Italian,กระจกแบบแขวน,1245,16,16,9
19052163,Estell,White,Vintage,ตู้เสื้อผ้าบานเปิด,1228,16,24,68
19052165,Estell,White,Vintage,ตู้เตี้ยลิ้นชัก,1228,16,24,67
19035027,Exio,White,Modern Italian,เตียง,1245,16,16,189
19049901,Lenka,Brown,Contemporary,โซฟาเข้ามุมขวา,2280,3,5,207
19052167,Estell,White,Vintage,ตู้โชว์,1228,16,24,74
19040923,Brook,Black,Modern,โต๊ะข้างเหล็กท๊อปกระจก,646,1,12,226
19050458,zNone,Brown,Vintage,ถาดและรถเข็น,8226,3,24,78
19042701,Asa,Brown Dark,Modern,โต๊ะข้างไม้ล้วน,452,4,12,233
19042702,Asa,Brown Dark,Scandinavian,โต๊ะกลางไม้ล้วน,452,4,22,223
