MATNR,Style,Cat2,Style_id,Cat2_id
19047936,Vintage,ตู้ข้างเตียง,25,61
19045101,Modern,โซฟา 3 ที่นั่ง,12,203
19050282,Vintage,กรอบรูป,25,5
59000365,Contemporary,ชุดห้องนอน,5,51
59001810,Modern,ชุดห้องนอน,12,51
19049900,Modern,โซฟาเข้ามุมขวา,12,207
19040929,Modern Italian,โซฟา 3 ที่นั่ง,16,203
19045046,Modern,โซฟา 4 ที่นั่ง,12,204
19045211,Contemporary,เตียง,5,189
59000343,Modern,None,12,538
19042680,Contemporary,โซฟา 3 ที่นั่ง,5,203
19050326,Luxury Glamorous,โซฟา 2 ที่นั่ง,10,202
19050327,Luxury Glamorous,โซฟา 4 ที่นั่ง,10,204
19042726,Modern,โซฟาเบด,12,213
19045832,Modern Italian,เตียง,16,189
19050328,Luxury Glamorous,โซฟา 2 ที่นั่ง,10,202
19050345,Luxury Glamorous,ตู้โชว์,10,74
19047934,Vintage,ตู้โชว์,25,74
19049891,Modern Classic,โซฟา 2 ที่นั่ง,14,202
19050324,Luxury Glamorous,โซฟา 2 ที่นั่ง,10,202
19050325,Luxury Glamorous,โซฟา 4 ที่นั่ง,10,204
19045031,Modern,โซฟาเข้ามุมซ้าย,12,209
19045032,Modern,โซฟาเข้ามุมซ้าย,12,209
19035030,Modern Italian,ตู้เสื้อผ้าบานเฟี้ยม,16,69
19042705,Modern Chic,โซฟา 3 ที่นั่ง,13,203
19046676,Modern,โซฟา 2 ที่นั่ง,12,202
19049870,Modern,ตู้สูง,12,64
19049871,Modern,ไซด์บอร์ด,12,257
59000712,Modern Classic,โต๊ะอาหารไม้ล้วน,14,251
59000614,Contemporary,None,5,538
19049890,Modern Classic,โซฟา 1 ที่นั่ง,14,201
19040787,Contemporary,โซฟา 3 ที่นั่ง,5,203
19049898,Neo Baroque,อาร์มแชร์ผ้า,19,143
59002374,Contemporary,ชุดห้องนอน,5,51
19046693,Industrial,โซฟา 2 ที่นั่ง,7,202
19046694,Industrial,โซฟา 1 ที่นั่ง,7,201
19049868,Modern,ตู้เตี้ยบานเปิด,12,66
