"NODE","LTEXT","LTEXT_T"
"47",อุปกรณ์การจัดเก็บ,
"48",โคมไฟ,
"49",ของใช้ในครัว,
"50",สินค้าสำหรับเด็ก,
"51",กรอบรูปและภาพแขวน,
"52",นาฬิกา,
"53",อุปกรณ์เครื่องใช้ในห้องน้ำ,
"55",พรม,
"56",อุปกรณ์ตกแต่งสวน,
"57",หมอนอิงและสตูล,
"58",เครื่องหอมและสปา,
"62",อาร์มแชร์,
A5,Wall Panel,
A4,ฟิลม์,
A1,Services,
"63",เฟอร์นิเจอร์เป่าลม,
"64",โซฟาหนังนาโน,
"65",โซฟาหนังนาโน/หนังสังเคราะห์,
"66",เก้าอี้พักผ่อนหนังนาโน,
"67",เก้าอี้พักผ่อนหนังนาโน/หนังสังเคราะห์,
A2,Awning,
A3,Home Automation,
"01",อุปกรณ์เสริม,
"02",ชุดห้องนอน,
"03",โต๊ะกลาง,
"04",เก้าอี้ทานอาหาร,
"05",โต๊ะทานอาหาร,
"06",โต๊ะข้าง,
"07",ของตกแต่งบ้าน,
"08",ชุดวางทีวี,
"09",ชุดห้องนอนเด็ก,
"10",ชุดครัว,
"11",พื้นไม้ลามิเนท,
"12",ห้องรับแขก,
"13",ที่นอน,
"14",เฟอร์นิเจอร์สำนักงาน,
"15",เฟอร์นิเจอร์สนาม,
"16",**DELETE**,
"17",**DELETE**,
"18",ตู้เก็บของ,
"19",ห้องแต่งตัว,
"20",ซีรีย์ตู้เสื้อผ้า,
"21",สินค้าสั่งทำ,
"22",เครื่องใช้ไฟฟ้า,
"23",ผนังตกแต่ง,
"27",ชุดผ้าปูที่นอน,
"28",ชุดเครื่องนอน หมอน หมอนข้าง,
"29",ม่าน,
"30",วอลล์เปเปอร์,
"31",เก้าอี้พักผ่อนผ้า,
"32",เก้าอี้พักผ่อนหนังแท้,
"33",เก้าอี้พักผ่อนหนังแท้ทั้งตัว,
"34",เก้าอี้พักผ่อนหนังสังเคราะห์,
"35",โซฟาผ้า,
"36",โซฟาหนังแท้,
"37",โซฟาหนังแท้ทั้งตัว,
"38",โซฟาหนังสังเคราะห์,
"39",อุปกรณ์รักษาความปลอดภัยภายในบ้าน,
"40",สินค้าเพื่อสุขภาพ,
"41",**Delete**,
"42",**Delete**,
"43",ของใช้บนโต๊ะอาหาร,
"44",อุปกรณ์เครื่องเขียนและเครื่องใช้สำนักงาน,
"45",แกดเจ็ต,
"46",กระจก,
