"NODE","LTEXT","LTEXT_T"
BG,ม่านตาไก่,Pierced
BH,ม่านหลุยส์,Louise
BI,ม่านคอกระเช้า,Loop
BJ,มู่ลี่ไม้,Wooden Blind
BK,มู่ลี่อลูมิเนียม,Venetian Blind
BL,ม่านพับ,Roman Blind
BM,ม่านม้วน,Roller Blind
BN,แผ่นไม้ปูพื้นสนาม,Decking
BO,กล่องเก็บเงิน,Cash Box
BP,เตาอบ,Oven
BQ,ตู้เย็น,Refrigerator
BS,เครื่องล้างจาน,Dishwasher
BT,เครื่องซักผ้า,Washing Machine
BU,ตู้แช่ไวน์,Wine Cabinet
DM,"3D Wall","3D Wall"
CH,ซีรีย์ตู้ผ้าBuilt-In,Built-InWardrobe Set
CI,พื้นล่าง,Base Panel
CW,TV Flip,TV หมุน
CX,Porcelain,Porcelain
DN,PU 3D Panel,PU 3D Panel
"01",**Delete**,
"02",เตียง,
"03",**Delete**,
"04",**Delete**,
"05",เตา,
"06",**Delete**,
"07",เครื่องดูดควัน,
"08",**Delete**,
"09",อุปกรณ์เสริมสำนักงาน,
"10",เก้าอี้สนาม,
"11",**Delete**,
"12",เฟอร์นิเจอร์สนามอื่นๆ,
"13",โต๊ะสนาม,
"14",ที่กั้นห้อง,
"15",เก้าอี้พักผ่อน 1 ที่นั่ง,
"16",เก้าอี้พักผ่อน 2 ที่นั่ง,
"17",เก้าอี้พักผ่อน 3 ที่นั่ง,
"18",ปิดปลอม,
"19",**Delete**,
"20",อ่างล้างจาน,
"21",ท็อปชุดครัว,
"22",วอลล์เปเปอร์,
"23",**Delete**,
"24",สติ๊กเกอร์ติดผนัง,
"25",เก้าอี้สั่งทำ,
"26",เก้าอี้เหล็กเบาะไม้,
"27",เก้าอี้เหล็กเบาะผ้า,
"28",เก้าอี้เหล็กเบาะพลาสติก,
"29",เก้าอี้เหล็กเบาะหนัง,
"30",เก้าอี้เหล็กล้วน,
"31",เก้าอี้ไฟเบอร์กลาส/พลาสติก,Dining Chair/Fiber/Plastic
"32",เก้าอี้ไม้เบาะผ้า,
"33",เก้าอี้ไม้เบาะหนัง,
"34",เก้าอี้ไม้ล้วน,
"35",เก้าอี้สตูลบาร์เหล็กเบาะไม้,
"36",เก้าอี้สตูลบาร์เหล็กเบาะผ้า,
"37",เก้าอี้สตูลบาร์เหล็กเบาะหนัง,
"38",เก้าอี้สตูลบาร์เหล็กล้วน,
"39",เก้าอี้สตูลบาร์ไม้เบาะผ้า,
"40",เก้าอี้สตูลบาร์ไม้เบาะหนัง,
"41",เก้าอี้สตูลบาร์ไม้ล้วน,
"42",เก้าอี้สำนักงาน,
"43",เครื่องแก้วตกแต่ง,
"44",เคาน์เตอร์ครัว,
"45",เคาน์เตอร์บาร์,
"46",เชิงเทียน,
"47",เดย์เบด,
"48",เทียน,
"49",เบาะรองนั่ง,
"50",แจกัน,
"51",โคมไฟแขวน,
"52",โคมไฟตั้งโต๊ะ,
"53",โคมไฟตั้งพื้น,
"54",โคมไฟติดเพดาน,
"55",โคมไฟติดผนัง,
"56",**Delete**,**Delete**
"57",โซฟา 1 ที่นั่ง,
"58",โซฟา 2 ที่นั่ง,
"59",โซฟา 3 ที่นั่ง,
"60",โซฟา 4 ที่นั่ง,
"61",โซฟาสั่งทำ,
"62",โซฟาเข้ามุมขวา,
"63",โซฟาเข้ามุมขวาปรับระดับได้,
"64",โซฟาเข้ามุมซ้าย,
"65",โซฟาเข้ามุมซ้ายปรับระดับได้,
"66",โซฟาเข้ามุมสลับซ้าย/ขวามีCorner,
"67",โซฟาเข้ามุมสลับด้านได้ซ้าย/ขวา,
"68",โซฟาเบด,
"69",โซฟาเบด 1 ที่นั่ง,
"70",ตู้ข้างเตียง,
"71",โต๊ะเครื่องแป้งแบบนั่ง,
"72",โต๊ะเครื่องแป้งแบบยืน,
"73",โต๊ะกลางเหล็กท๊อปไม้,
"74",โต๊ะกลางเหล็กท๊อปกระจก,
"75",โต๊ะกลางเหล็กท๊อปหิน,
"76",โต๊ะกลางเหล็กล้วน,
"77",โต๊ะกลางไม้ท๊อปกระจก,
"78",โต๊ะกลางไม้ท๊อปหิน,
"79",โต๊ะกลางไม้ล้วน,
"80",โต๊ะกลางกระจกล้วน,
"81",โต๊ะกลางหนัง,
"82",โต๊ะกลางหินล้วน,
"83",โต๊ะข้างเหล็กท๊อปไม้,
"84",โต๊ะข้างเหล็กท๊อปกระจก,
"85",โต๊ะข้างเหล็กท๊อปหิน,
"86",โต๊ะข้างเหล็กล้วน,
"87",โต๊ะข้างไฟเบอร์กลาส,
"88",โต๊ะข้างไม้ท๊อปกระจก,
"89",โต๊ะข้างไม้ท๊อปหิน,
"90",โต๊ะข้างไม้ล้วน,
"91",โต๊ะข้างกระจกล้วน,
"92",โต๊ะข้างหนัง,
"93",โต๊ะข้างหินล้วน,
"94",โต๊ะคอมพิวเตอร์,
"95",โต๊ะทำงาน,
"96",โต๊ะบาร์เหล็กล้วน,
"97",โต๊ะบาร์ขาเหล็กท๊อปเหล็ก,
"98",โต๊ะบาร์ขาเหล็กท๊อปไม้,
"99",โต๊ะอาหารสั่งทำ,
A0,โต๊ะอาหารเหล็กล้วน,
A1,โต๊ะอาหารไฟเบอร์กลาส/พลาสติก,Dining Table/Fiber/Plastic
A2,โต๊ะอาหารไม้ล้วน,Dining Table/Wood
A3,โต๊ะอาหารกระจกล้วน,
A4,โต๊ะอาหารขาเหล็กท๊อปไม้,
A5,โต๊ะอาหารขาเหล็กท๊อปกระจก,Dining Table/Steel/Glass Top
A6,โต๊ะอาหารขาเหล็กท๊อปหิน,Dining Table/Steel/Natural Stone Top
A7,โต๊ะอาหารขาไม้ท๊อปกระจก,Dining Table/Wood/Glass Top
A8,โต๊ะอาหารขาไม้ท๊อปหิน,Dining Table/Wood/Natural Stone Top
A9,โต๊ะอาหารขาหินท๊อปกระจก,
AA,อุปกรณ์สำหรับเด็ก,
AB,อุปกรณ์อาบน้ำ,
AC,อุปกรณ์อื่นๆ,
AD,โคมไฟแชงเดอร์เรีย,
AE,**Delete**,
AF,**Delete**,
AG,กล่องใส่กุญแจ,
AH,ที่แขวนเครื่องประดับ,
AI,กล่องทิชชู่,
AJ,ดอกไม้ปลอม,
AK,ต้นไม้ปลอม,
AL,รั้ว,
AM,หญ้าเทียม,
AN,อุปกรณ์ตัดแต่งต้นไม้และดูแลสวน,
AO,สปาและอุปกรณ์,
AP,ที่ทับกระดาษ,
AQ,สติ๊กเกอร์ติดผนัง,
AR,ชุดเครื่องนอนเด็ก,
AS,เตียงสั่งทำ,
AT,ชุดวางทีวีและตู้เก็บของสั่งทำ,
AU,อาร์มแชร์ผ้า,
AV,**Delete**,
AW,อาร์มแชร์หนังแท้ทั้งตัว,
AX,อาร์มแชร์หนังสังเคราะห์,
AY,อาร์มแชร์ไม้,
AZ,อาร์มแชร์เหล็ก,
B0,โต๊ะอาหารหินล้วน,Dining Table/Natural Stone Top
B1,ไซด์บอร์ด,
B2,ไม้รองท็อป,
B3,ไส้หมอนอิง,
B4,กรอบรูป,
B5,กระจกแบบแขวน,
B6,กระจกแบบตั้งโต๊ะ,
B7,กระจกแบบตั้งพื้น,
B8,กระจกแบบติดผนัง,
B9,**Delete**,
BA,**Delete**,
BB,หินควอทซ์,
BC,หินสังเคราะห์,
BD,หินแกรนิต,
C0,**Delete**,
C1,**Delete**,
C2,กล่องแขวน,Hanging Box
C3,กล่องใส่นิตยสาร,
C4,กล่องอเนกประสงค์,
C5,ของใช้บนโต๊ะอาหาร,
C6,คอนโซล,
C7,ชั้นแขวน,
C8,ชั้นวางคีย์บอร์ด,
C9,ชั้นวางซีดี/หนังสือ,
D0,**Delete**,
D1,Stainless Kitchen,
D2,ตู้เตี้ยบานเปิด,
D3,ตู้เตี้ยลิ้นชัก,
D4,ตู้เสื้อผ้าบานเปิด,
D5,ตู้เสื้อผ้าบานเฟี้ยม,
D6,ตู้เสื้อผ้าบานเลื่อน,
D7,ตู้แขวน,
D8,ตู้แขวนทีวี,
D9,ตู้โชว์,
E0,ตู้โชว์+วางทีวี,
E1,ตู้กั้นห้อง/ชั้นกั้นห้อง,
E2,ตู้รองเท้า,
E3,ตู้ลิ้นชักล้อเลื่อน,
E4,ตู้สูง,
E5,ถาดใส่เอกสาร,
E6,ที่นอนสั่งทำ,
E7,ที่นอนเมมโมรี่โฟม,
E8,ที่นอนพ็อคเกตสปริง,
E9,ที่นอนยางพารา,
F0,ที่นอนวิสโคอีลาสติก,
F1,ที่นอนสปริง,
F2,นาฬิกาแขวนผนัง,
F3,นาฬิกาตั้งโต๊ะ,
F4,บอดี้ + หน้าบานชุดครัว,
F5,บอดี้ชุดครัว,
F6,บอดี้ตู้,
F7,ปลอกหมอนอิง,
F8,ผนังตกแต่งไม้,
F9,ผนังตกแต่งกล่องเก็บของ,
G0,ผนังตกแต่งผ้า,
G1,ผนังตกแต่งหนัง,
G2,ผ้าปูโต๊ะ,
G3,ผ้าม่านสั่งทำ,
G4,ผ้าม่านสำเร็จรูป,
G5,ผ้าหุ้มโซฟา,
G6,**Delete**,
G7,พรมห้องน้ำ,
G8,**Delete**,**Delete**
G9,มือจับ,
H0,สตูล,
H1,สตูลสั่งทำ,
H2,สตูล โซฟา,
H3,หน้าบาน,
H4,หน้าบานชุดครัว,
H5,หน้าบานตู้เสื้อผ้าบานเปิด,
H6,หน้าบานตู้เสื้อผ้าบานเลื่อน,
H7,หน้าบานประตู,
H8,หมอนสั่งทำ,
H9,**Delete**,
I0,หมอนหนุนเมมโมรี่โฟม,
I1,หมอนหนุนยางพารา,
I2,หมอนหนุนวิสโคอีลาสติก,
I3,หมอนอิง,
I4,อุปกรณ์ผ้าม่าน,
I5,ตู้เสื้อผ้าเข้ามุมบานเปิด,
I6,**Delete**,
I7,หน้าลิ้นชัก,
I8,โซฟาสนาม,
I9,**Delete**,
J0,ราวแขวน,
J1,พื้นบนตู้ลิ้นชัก,
J2,กล่องบานยก,
J3,กล่องลิ้นชัก,
J4,กล่องโล่ง,
J5,ชั้นโล่ง,
J6,โต๊ะเขียนหนังสือ,Writing Desk
