,NODE,LTEXT,LTEXT_T
0,AW7,Tonio,
1,AW8,Toronto,
2,AW9,Tritus,
3,AX1,Turko,
4,AX2,Tycoon,
5,AX3,Uni,
6,AX4,Unify,
7,AX5,Urchin,
8,AX6,Us,
9,AX7,Utopia,
10,AX8,Valentino,
11,AX9,Vanezza,
12,AY1,Vea,
13,AY2,Vevien,
14,AY3,Vinson,
15,AY4,Vintella,
16,AY5,Vivana,
17,AY6,Volozt,
18,AY7,Walmart,
19,AY8,Wanda,
20,AY9,Wandella,
21,AZ1,Waqar,
22,AZ2,Warina,
23,AZ3,Warrick,
24,AZ4,Warsaw,
25,AZ5,Washi,
26,AZ6,Way,
27,AZ7,Webb,
28,AZ8,Webra,
29,AZ9,Webra Plus,
30,B01,TRN-03,
31,B02,TRN-04,
32,B03,TRN-05Translucent,
33,B04,A220,
34,B05,FHBT219,
35,B09,MC324FS2,
36,B12,MC326,
37,B17,MCSOHO326P,
38,B18,MCSOHO345H,
39,B19,MCSOHO345H/B,
40,B20,RG292,
41,B22,SPACE20.10,
42,B31,CMF 001,
43,B33,CR-8-1(Natural Stain),
44,B38,LE - R (F),
45,B41,LE -3-3,
46,B45,Pagoda - 3,
47,B46,Pagoda -4 (S),
48,B47,pagoda3-2,
49,B49,PagodaFR,
50,B50,Palmetto(T),
51,B59,PL - 2-2,
52,B63,PL-2-3,
53,B64,Plus,
54,B67,SensaiF3(DoubleShade),
55,B68,SpaceF,
56,B72,Autumn,
57,B73,Circle,
58,B74,Deming,
59,B76,Hersberg,
60,B77,Maslow,
61,B79,Pistila,
62,B80,Ribbon,
63,B83,Buddha,
64,B84,Cork,
65,B85,Flock,
66,B86,Garn,
67,B87,Ging,
68,B88,Grove,
69,B89,Koko,
70,B90,ORB,
71,B91,POD,
72,B92,Slam,
73,B93,Spring,
74,B94,Spring Baby,
75,B95,Squirrel,
76,B96,Winter,
77,BA1,Webster,
78,BA2,Wendell,
79,BA3,Wes,
80,BA4,Westbrook,
81,BA5,Western,
82,BA6,Weston,
83,BA7,Wilan,
84,BA8,Wilford,
85,BA9,Will,
86,BB1,Willa,
87,BB2,William,
88,GQ5,Finny,
89,BB3,Willy,
90,FJ3,Emit,
91,FJ4,Econ,
92,FJ5,Effect,
93,FJ6,Equal,
94,FJ7,Ecomic,
95,FJ8,Econo,
96,FJ9,Educate,
97,FK1,Enigma,
98,FK2,Emile,
99,FK3,0218A,
100,FK4,0219B,
101,FK5,0229I,
102,FK6,0232,
103,FK7,0234,
104,FK8,0213,
105,FK9,Tasha,
106,FL1,Tuary,
107,FL2,Cathy,
108,FL3,Czar,
109,FL4,Choice,
110,FL5,Chore,
111,FL6,Cadenze,
112,FL7,Cava,
113,FL8,Center,
114,FL9,Cadenza,
115,FM1,Unity,
116,FM2,Unit,
117,FM3,U-know,
118,FM4,Lula,
119,FM5,Yahto,
120,FM6,Yama,
121,FM7,Yishi,
122,FM8,Yoi,
123,FM9,Ya,
124,FN1,Yeasty,
125,FN2,Yogini,
126,FN3,Yasma,
127,FN4,Yatori,
128,FN5,Yamiko,
129,FN6,Yalena,
130,FN7,Yero,
131,FN8,Yuna,
132,FN9,Yacob,
133,FO1,Yarika,
134,FO2,Yawala,
135,FO3,Yose,
136,FO4,Washington,
137,FO5,Wennish,
138,FO6,Welkin,
139,FO7,Wales,
140,FO8,Wink,
141,FO9,Jestro,
142,FP1,Corizzae,
143,FP2,Velitas,
144,FP3,Silvera,
145,FP4,Rinse,
146,FP5,Monliny,
