,NODE,LTEXT,LTEXT_T
0,BG,ม่านตาไก่,Pierced
1,BH,ม่านหลุยส์,Louise
2,BI,ม่านคอกระเช้า,Loop
3,BJ,มู่ลี่ไม้,Wooden Blind
4,BK,มู่ลี่อลูมิเนียม,Venetian Blind
5,BL,ม่านพับ,Roman Blind
6,BM,ม่านม้วน,Roller Blind
7,BN,แผ่นไม้ปูพื้นสนาม,Decking
8,BO,กล่องเก็บเงิน,Cash Box
9,BP,เตาอบ,Oven
10,BQ,ตู้เย็น,Refrigerator
11,BS,เครื่องล้างจาน,Dishwasher
12,BT,เครื่องซักผ้า,Washing Machine
13,BU,ตู้แช่ไวน์,Wine Cabinet
14,DM,3D Wall,3D Wall
15,CH,ซีรีย์ตู้ผ้าBuilt-In,Built-InWardrobe Set
16,CI,พื้นล่าง,Base Panel
17,CW,TV Flip,TV หมุน
18,CX,Porcelain,Porcelain
19,DN,PU 3D Panel,PU 3D Panel
20,01,**Delete**,
21,02,เตียง,
22,03,**Delete**,
23,04,**Delete**,
24,05,เตา,
25,06,**Delete**,
26,07,เครื่องดูดควัน,
27,08,**Delete**,
28,09,อุปกรณ์เสริมสำนักงาน,
29,10,เก้าอี้สนาม,
30,11,**Delete**,
31,12,เฟอร์นิเจอร์สนามอื่นๆ,
32,13,โต๊ะสนาม,
33,14,ที่กั้นห้อง,
34,15,เก้าอี้พักผ่อน 1 ที่นั่ง,
35,16,เก้าอี้พักผ่อน 2 ที่นั่ง,
36,17,เก้าอี้พักผ่อน 3 ที่นั่ง,
37,18,ปิดปลอม,
38,19,**Delete**,
39,20,อ่างล้างจาน,
40,21,ท็อปชุดครัว,
41,22,วอลล์เปเปอร์,
42,23,**Delete**,
43,24,สติ๊กเกอร์ติดผนัง,
44,25,เก้าอี้สั่งทำ,
45,26,เก้าอี้เหล็กเบาะไม้,
46,27,เก้าอี้เหล็กเบาะผ้า,
47,28,เก้าอี้เหล็กเบาะพลาสติก,
48,29,เก้าอี้เหล็กเบาะหนัง,
