,NODE,LTEXT
0,59,ตู้เสื้อผ้าบานเปิดขนาด 47
1,60,ตู้เสื้อผ้าบานเปิดขนาด 80
2,61,ตู้เสื้อผ้าบานเปิดขนาด 90
3,62,ตู้เสื้อผ้าบานเปิดขนาด 93
4,63,ตู้เสื้อผ้าบานเฟี้ยมขนาด 139
5,64,ตู้เสื้อผ้าบานเฟี้ยมขนาด 160
6,65,ตู้เสื้อผ้าบานเฟี้ยมขนาด 185
7,66,ตู้เสื้อผ้าบานเฟี้ยมขนาด 240
8,67,ตู้เสื้อผ้าบานเลื่อนขนาด 120
9,68,ตู้เสื้อผ้าบานเลื่อนขนาด 160
10,69,ตู้เสื้อผ้าบานเลื่อนขนาด 180
11,70,ตู้เสื้อผ้าบานเลื่อนขนาด 220
12,71,ตู้เสื้อผ้าบานเลื่อนขนาด 240
13,72,ตู้เสื้อผ้าหน้าลิ้นชักขนาด 47
14,73,ตู้เสื้อผ้าหน้าลิ้นชักขนาด 93
15,74,ตู้แขวนลิ้นชัก
16,75,ตู้แขวนหน้าบาน Flap Down
17,76,ตู้แขวนหน้าบาน Flap Up
18,77,ตู้แขวนหน้าบานเปิด
19,78,ตู้โชว์ + วางทีวี ขนาด 150
20,79,ตู้โชว์ + วางทีวี ขนาด 160
21,80,ตู้โชว์ + วางทีวี ขนาด 180
22,81,ตู้โชว์ + วางทีวี ขนาด 200
23,82,ตู้โชว์ขนาด 40
24,83,ตู้โชว์ขนาด 60
25,84,ตู้โชว์ขนาด 90
26,85,ตู้สูงขนาด 100
27,86,ตู้สูงขนาด 120
28,87,ตู้สูงขนาด 150
29,88,ตู้สูงขนาด 20
30,89,ตู้สูงขนาด 30
31,90,ตู้สูงขนาด 40
32,91,ตู้สูงขนาด 60
33,92,ตู้สูงขนาด 75
34,93,ตู้สูงขนาด 80
35,94,ตู้สูงขนาด 90
36,95,หน้าบาน Flap Down
37,96,หน้าบาน Flap Up
38,97,หน้าบานเปิด
39,98,หน้าบานเลื่อน
40,99,หน้าบานตู้เสื้อผ้าเข้ามุม
41,A0,หน้าบานตู้เสื้อผ้าขนาด 180
42,A1,หน้าบานตู้เสื้อผ้าขนาด 220
43,A2,หน้าบานตู้เสื้อผ้าขนาด 47
44,A3,หน้าบานตู้เสื้อผ้าขนาด 93
45,A4,หน้าลิ้นชัก
46,A8,ชั้นแขวนขนาด 180
47,B1,โซฟาขนาด1.8-2.m
48,B2,โซฟาขนาด2.5-3m
49,B3,โซฟาขนาด2-2.5m
50,B4,โซฟาขนาด3.5-4m
51,B5,โซฟาขนาด3-3.5m
52,B6,โซฟาขนาดเล็กกว่า1.8 m
53,01,เตียง 10 ฟุต
54,02,เตียง 12 ฟุต
55,B7,โซฟาขนาดใหญ่กว่า4m
56,B8,ตู้เตี้ยลิ้นชัก 40
57,B9,ตู้เสื้อผ้าเข้ามุมบานเปิดขนาด 88
58,C0,ตู้เสื้อผ้าบานเปิดขนาด 100
59,C1,ตู้เสื้อผ้าบานเปิดขนาด 185
60,C2,ตู้เสื้อผ้าหน้าบานเปิด
61,C3,โต๊ะกลางขนาด 100-119
62,C4,โต๊ะกลางขนาด 120-140
63,C5,โต๊ะกลางขนาดเล็กกว่า 100
64,C6,โต๊ะกลางขนาดใหญ่กว่า 140
65,C9,โต๊ะทำงานขนาด 180
66,D0,โต๊ะอาหารขนาด 120-149
67,D1,โต๊ะอาหารขนาด 150-179
