,NODE,LTEXT,LTEXT_T
0,CM,KITCHEN SET KOURMET,ชุดครัวครูเม่
1,G6,BRONZE WAVE,บรอนซ์ เวฟ
2,G7,COPPER GLOSS,คอปเปอร์ กรอส
3,G8,CREAMY,ครีมมี่
4,G9,PINK GOLD,พิงก์ โกลด์
5,H1,BRONZE GLOSS,บรอนซ์ กรอส
6,H2,DIM GREY,ดิม เกรย์
7,H3,SYRUP BROWN,ไซรัปบราวน์
8,H4,IRCON BROWN,เซอร์คอน บราวน์
9,H5,AMBER BROWN,เอมเบอร์ บราวน์
10,H6,FOREST MAPLE,ฟอร์เรส เมเปิ้ล
11,H7,S1,S1
12,H8,S2,S2
13,H9,S3,S3
14,I1,VC1,VC1
15,I2,VC2,VC2
16,I3,VC3,VC3
17,I4,VC4,VC4
18,I5,VC5,VC5
19,I6,PN,PN
20,I7,OA,OA
21,I8,LT,LT
22,I9,CT-F,CT-F
23,J1,CT-H,CT-H
24,J2,SL,SL
25,J3,Ceramenta,Ceramenta
26,J4,ORVIETO,ORVIETO
27,J5,EUROSOFT,EUROSOFT
28,J6,KING,KING
29,J7,VINTANGE,VINTANGE
30,J8,SPRESSO,SPRESSO
31,J9,MARCO,MARCO
32,K1,TORO,TORO
33,K2,MIMOSA,MIMOSA
34,K3,NUBUCK,NUBUCK
35,K4,GEKO,GEKO
36,K5,OREGON BLACK,OREGON BLACK
37,K6,Camelia,Camelia
38,K7,SHADOW,ชาโดว์
39,K8,CASHMERE BEIGE,
40,K9,LINDBERG OAK,
41,L1,GREY SAND,เกรย์แซนด์
42,L2,LINDBERG OAK,
43,L3,VALACUS,
44,01,WHITE,ขาว
45,02,I-WALNUT,ไอ-วอลนัท
46,03,ESPRESSO,เอสเพรสโซ
47,04,WHITE OAK,ไวท์โอ๊ค
48,05,MID GLOSS,ขาว-มิดกรอส
49,06,BLACK,ดำ
50,07,GREY TWIST,เกรย์ ทวิส
51,08,IVORY TWIST,ไอเวอร์รี่ ทวิส
52,09,LIGHT WHITE,ขาว-ไลท์ไวท์
53,10,COOL WHITE,ขาว-คูลไวท์
54,11,BLACK MUSTANG,ดำมัสแตง
55,12,MILD VIOLET,ม่วง-มายด์ ไวโอเลต
56,13,ITALIAN BROWN,อิตาเลี่ยนบราวน์
57,14,MOCHA BROWN,มอคค่าบราวน์
58,15,BLACK FLORAL,ดำฟลอรอล
59,16,LIGHT GREEN,เขียว-ไลท์กรีน
60,17,MAPLE,เมเปิ้ล
61,18,ORANGE,ส้ม
62,19,GREEN,เขียว
63,20,VIOLA,ไวโอล่า
64,21,GLODEN SUN,เหลือง-โกลเด้นซัน
65,22,TURQOUISE,เทอร์คอยซ์
66,23,REFLECT,รีเฟล็กซ์
67,24,FROSTED GLASS,ฟรอสกลาส
68,25,ALUMINUM,อลูมิเนียม
69,26,CREAM,ครีม
70,27,GRIGIO,กริจิโอ
71,28,CREAMBLACKFLORAL,ครีม-ดำฟรอรอล
72,29,MARRONE,มารูน
