,NODE,LTEXT
0,63,GRANDNADA STONE
1,60,WALL PAPER
2,58,WAX
3,59,MOSAIC
4,1,ALUMINUM FRAME
5,2,ARTIFICIAL SILK
6,3,BICAST
7,4,COATING GLASS
8,5,COATING HG
9,6,COTTON FABRIC
10,7,CRYSTAL HG
11,8,FABRIC
12,9,FOIL
13,10,GENUINE LEATHER
14,11,GLASS
15,12,HIGH PRESSURE LAMINATE
16,13,MICROFIBER
17,14,NATURAL STONE
18,15,POLYESTER FABRIC
19,16,HIGH GLOSS
20,17,SHORT CYCLE
21,18,SILK
22,19,STAINLESS
23,20,STEEL
24,21,SYNTHETIC LEATHER
25,22,VENEER
26,23,WOOD
27,24,SYNTHETIC RATTAN
28,25,TRUSENSE LEATHER
29,27,TEAK
30,28,ELASTIC RUBBER
31,29,ACRYLIC
32,30,FIBER GLASS
33,31,RESIN
34,32,CERAMIC
35,33,METAL
36,34,WIRE
37,35,POLYESTER
38,36,ROPE
39,37,PLASTIC
40,40,ZINC
41,41,MARBLE
42,42,ALUMINUM
43,44,CROMIUM
44,45,PLASTIC/FIBER
45,46,PLASTIC/FIBER GLASS
46,47,PVC
47,48,PVC MEMBRANE
48,49,นิเกิล ซาติน
49,50,พ่นสี
50,51,อลูมิเนียมชุปนิเกิลซาติน
51,52,อะคลิลิกใส
52,53,WOOL
53,54,STONE
54,55,COPPER
55,56,WOOD RIFT
56,57,PAPER
57,61,STICKER
58,62,CLEAF SURFACE
59,64,NANO LEATHER
60,65,BRILLIANT GLOSS
