ORDER_ID,ORDER_ITEM_ID,MATNR,QUANTITY,TOTAL_PRICE
2024,2024,19106665,1,2700.0
2024,2025,19049635,1,36900.0
2241,2221,19086648,1,6900.0
2321,2281,19110489,1,7900.0
2341,2301,19086648,1,6900.0
2341,2302,19086655,1,3490.0
2422,2382,19104920,1,6900.0
2442,2403,19062438,1,18500.0
2481,2421,19110830,1,9900.0
2561,2483,19077657,1,22400.0
2561,2484,19077658,1,6900.0
2641,2561,19096159,1,11500.0
2682,2602,19111249,1,27900.0
2781,2701,19047937,1,3640.0
2781,2702,19047936,1,1050.0
2781,2703,59008843,1,19900.0
3121,3041,19090826,1,5460.0
3202,3122,19090399,1,1750.0
3202,3123,19038032,1,2900.0
3202,3124,19111271,1,4830.0
3261,3181,59004665,1,9900.0
3262,3182,19077852,1,3300.0
3341,3261,59008061,1,15500.0
3403,3325,19112683,1,30900.0
3461,3381,19110751,1,6930.0
3681,3601,59008485,1,19900.0
3781,3701,19112398,1,3150.0
3962,3863,19077060,1,3900.0
4001,3901,59001239,1,43900.0
4021,3921,19111271,1,4830.0
4021,3922,19111255,1,8540.0
4021,3923,19077254,1,1190.0
4021,3924,19101652,1,3190.0
4101,4001,19077156,15,108000.0
4101,4002,19068822,6,16200.0
4101,4003,19041342,21,46200.0
4101,4004,19041349,15,13500.0
4121,4021,19109094,1,3900.0
4221,4121,59010019,1,26180.0
4461,4301,19111578,1,9900.0
4621,4461,19111306,1,11200.0
4621,4462,19111272,1,4830.0
4701,4541,19047931,1,5530.0
4701,4542,19089735,1,6900.0
4941,4761,19078049,1,26600.0
5021,4841,19055860,1,7900.0
5221,5021,19112403,1,1680.0
5221,5022,19112395,1,1680.0
5241,5041,59010064,1,4900.0
5241,5042,59003359,1,15500.0
5341,5141,19111284,1,5950.0
5341,5142,19111290,1,5600.0
5342,5143,25016983,4,1560.0
5343,5144,19089735,2,13800.0
5361,5161,19036595,1,2450.0
5441,5261,19111293,1,2800.0
5441,5262,19110767,1,5600.0
5561,5381,19111299,1,3010.0
5561,5382,19111287,1,5250.0
5561,5383,19111284,1,5950.0
5561,5384,19111281,2,11200.0
5741,5530,59008209,1,39900.0
5742,5531,19110489,1,7900.0
5822,5581,19089069,1,29900.0
5841,5601,19096195,1,16400.0
6001,5741,19080289,1,4990.0
6041,5781,19096177,1,8190.0
6064,5805,59003139,1,12825.0
6102,5826,19110751,1,6930.0
6121,5841,19067791,1,3290.0
6161,5863,19086651,1,3590.0
6541,6261,19090653,1,2090.0
6721,6412,19101668,1,5600.0
7021,6681,19091930,1,9900.0
7021,6682,19101786,1,1470.0
7022,6683,25017218,1,990.0
7027,6689,59006531,1,15900.0
7081,6741,19077083,1,13615.0
7121,6781,19031467,1,5680.0
7182,6825,19090832,1,11900.0
7321,6941,19106678,2,9580.0
7341,6961,19071897,1,2240.0
7361,6981,19112395,1,1680.0
7361,6982,19041255,1,2550.0
7421,7021,19110037,1,29900.0
7421,7022,19090944,1,17900.0
7421,7023,19110041,1,29900.0
7521,7121,19111553,1,8990.0
7541,7141,19090399,1,1750.0
7541,7142,19090397,1,8050.0
7541,7143,19090400,1,4410.0
7581,7181,19062257,1,2590.0
7621,7221,59010269,1,20900.0
7661,7261,19112184,1,17900.0
7861,7461,19111285,1,5950.0
7861,7462,19111299,1,3010.0
7941,7541,19112774,1,22900.0
7961,7561,19110881,1,12300.0
8083,7684,19045920,1,21900.0
8085,7686,19072320,1,34900.0
8122,7724,59002916,1,17550.0
8186,7769,19041249,1,6930.0
8188,7771,19097665,1,23900.0
8188,7772,19090385,1,1590.0
8201,7781,19097866,1,3990.0
8261,7814,19110736,2,39810.0
8261,7815,19045725,1,6650.0
8381,7881,19045725,1,6650.0
8381,7882,19110736,2,39810.0
8441,7941,59010273,1,23900.0
8541,8041,19090204,1,2790.0
9101,8561,19090062,1,7400.0
9161,8603,19090747,1,7900.0
