,ID,MATNR,IMAGE_URL
0,"31,987",25009984,http://sbmedia.sbdesignsquare.com/cyber/images/mat/25009984_NMI500322-IT-SBDS-Home Decoration-DE4717-Copper pillar candle holder-Vintage_A_A4.jpg
1,"31,997",25010053,http://sbmedia.sbdesignsquare.com/cyber/images/mat/25010053_NMI500355-IT-SBDS-Home Decoration-66296-Blue-Candle holder-Vintage_A_A4.jpg
2,"23,077",19039894,http://sbmedia.sbdesignsquare.com/cyber/images/mat/19039894_TMPN300179-IT-KC-Bedroom-Torino-F-Dt-Modern_A_A4.jpg
3,"29,283",19030498,http://sbmedia.sbdesignsquare.com/cyber/images/mat/19030498_TMPN400136-IT-KC-Dining-Dacia-Table-Modern_A_A4.jpg
4,"24,727",19047365,http://sbmedia.sbdesignsquare.com/cyber/images/mat/19047365_TMPN500131-IT-SBDS-Home Decoration-DE6415-Tray-Modern_A_A4.jpg
5,"31,826",25009902,http://sbmedia.sbdesignsquare.com/cyber/images/mat/25009902_NMI500402-IT-SBDS-Home Decoration-YA-H86095B-Photo frame-Vintage_A_A4.jpg
6,"32,487",25009867,http://sbmedia.sbdesignsquare.com/cyber/images/mat/25009867_NMI500412-TI-SBDS-Home Decoration-DE6433-Canvas&Wood-Vintage_A_A4.jpg
7,"32,425",25009299,http://sbmedia.sbdesignsquare.com/cyber/images/mat/25009299_NMI500417-IT-SBDS-Home Decoration-84109-Photo Frame-Vintage_A_A4.jpg
8,"29,901",59001672,http://sbmedia.sbdesignsquare.com/cyber/images/mat/59001672_TMPN300161-RT-KC-Kitchen-Contrino 1.50-Contemporary_A_A4.jpg
9,"29,453",19042871,http://sbmedia.sbdesignsquare.com/cyber/images/mat/19042871_TMPN400222-IT-KC-Livingroom-GiggerConner-Sofa-Modern_A_A4.jpg
10,"9,922",59000214,http://sbmedia.sbdesignsquare.com/cyber/images/mat/59000214_TMPN300037-RT-KC-Bedroom-Lizzo-fMillana-Modern Italian Contemporary_A_A4.jpg
11,"29,231",59001830,http://sbmedia.sbdesignsquare.com/cyber/images/mat/59001830_TMPN300141-RT-KC-Office-Selector1.8m.-ModernContemporary_A_A4.jpg
12,"32,040",25009901,http://sbmedia.sbdesignsquare.com/cyber/images/mat/25009901_NMI500399-IT-SBDS-Home Decoration-YA-H71222E-MDF photo frame-Vintage_A_A4.jpg
13,"32,515",19052200,http://sbmedia.sbdesignsquare.com/cyber/images/mat/19052200_TMPN100353-IT-SB-Bedroom-Evelyn100353-Bed-Modern Classic_A_A4.jpg
14,"29,690",59000563,http://sbmedia.sbdesignsquare.com/cyber/images/mat/59000563_TMPN300165-RT-KC-Kitchen-Contrino 1.50x2.10-Contemporary_A_A4.jpg
15,"29,731",19010034,http://sbmedia.sbdesignsquare.com/cyber/images/mat/19010034_TMPN200220-IT-SB-Diningroom-Paladoox-Diningtable-Modern_A_A4.jpg
16,"29,734",19049890,http://sbmedia.sbdesignsquare.com/cyber/images/mat/19049890_TMPN200128-IT-Yves Maison-Livingroom-Kabira 1S-Sofa-Romantica_A_A4.jpg
17,"32,210",25009890,http://sbmedia.sbdesignsquare.com/cyber/images/mat/25009890_NMI500411-IT-SBDS-Home Decoration-DE3942-Table Lamp-Vintage_A_A4.jpg
18,"14,584",19027124,http://sbmedia.sbdesignsquare.com/cyber/images/mat/19027124_TMPN300386-IT-KC-Livingroom-Selector TV120-DW-ModernContemporary_A_A4.jpg
19,"13,845",19048012,http://sbmedia.sbdesignsquare.com/cyber/images/mat/19048012_TMPN3000214-IT-KC-Bedroom-Lavora-Dt-Modern_A_A4.jpg
20,"22,342",19030667,http://sbmedia.sbdesignsquare.com/cyber/images/mat/19030667_TMPN500035-IT-SBDS-Home Decoration-GB07182-Vase-Modern_A_A4.jpg
21,"22,308",19030663,http://sbmedia.sbdesignsquare.com/cyber/images/mat/19030663_TMP500049-IT-SBDS-Home Decoration-GF08052-Vase-Modern_A_A4.jpg
22,"14,421",19050093,http://sbmedia.sbdesignsquare.com/cyber/images/mat/19050093_TMPN300554-KC-IT-Kitchen-MZN-DK-403-ModernContemporary_A_A4.jpg
23,"21,830",19023002,http://sbmedia.sbdesignsquare.com/cyber/images/mat/19023002_TMPN300158-IT-KC-Bedroom-Zircon-Dt-Modern_A_A4.jpg
24,"31,678",25009708,http://sbmedia.sbdesignsquare.com/cyber/images/mat/25009708_NMI500106-IT-SBDS-Home Decoration-DE5310-Photo frame-Vintage_A_A4.jpg
25,"29,641",19049869,http://sbmedia.sbdesignsquare.com/cyber/images/mat/19049869_TMPN300372-IT-KC-Livingroom-Teminus-LC080-Modern_A_A4.jpg
26,"23,891",59000001,http://sbmedia.sbdesignsquare.com/cyber/images/mat/59000001_TMPN100001-RT-SB-Bedroom-Vertical-Modern Italian_A_A4.jpg
27,"32,102",19052161,http://sbmedia.sbdesignsquare.com/cyber/images/mat/19052161_TMPN100356-IT-SB-Bedroom-Estell100356-Dressing Table-Modern Classic_A_A4.jpg
28,"20,717",19047553,http://sbmedia.sbdesignsquare.com/cyber/images/mat/19047553_TMPN200211-IT-VP-Diningroom-Carmell-A-Diningtable-Vintage_A_A4.jpg
29,"14,751",19036619,http://sbmedia.sbdesignsquare.com/cyber/images/mat/19036619_TMPN300043-IT-KC-Livingroom-Optimus-WC120-Minimal_A_A4.jpg
30,"19,528",19031397,http://sbmedia.sbdesignsquare.com/cyber/images/mat/19031397_TMPN200204-IT-SB-Livingroom-Art-End table-Modern_A_A4.jpg
31,"31,625",25009985,http://sbmedia.sbdesignsquare.com/cyber/images/mat/25009985_NMI500323-IT-SBDS-Home Decoration-DE4718-Copper pillar candle holder-Vintage_A_A4.jpg
32,"31,634",25010041,http://sbmedia.sbdesignsquare.com/cyber/images/mat/25010041_NMI500340-IT-SBDS-Home Decoration-65905-Planter-Vintage_A_A4.jpg
33,"19,555",19039935,http://sbmedia.sbdesignsquare.com/cyber/images/mat/19039935_TMPN200210-IT-SB-Livingroom-Elga-End table-Modern_A_A4.jpg
34,"29,915",59001775,http://sbmedia.sbdesignsquare.com/cyber/images/mat/59001775_TMPN300152-RT-KC-Kitchen-Mozani 1.2-Modern_A_A4.jpg
35,"32,303",25009284,http://sbmedia.sbdesignsquare.com/cyber/images/mat/25009284_NMI500421-IT-SBDS-Home Decoration-10328-Decoration-Vintage_A_A4.jpg
36,"29,221",59000715,http://sbmedia.sbdesignsquare.com/cyber/images/mat/59000715_TMP200237-RT-SB-Livingroom-EDWARD-A1802&&COSTAx4-Contemporary_A_A4.jpg
37,"32,251",25009311,http://sbmedia.sbdesignsquare.com/cyber/images/mat/25009311_NMI500418-IT-SBDS-Home Decoration-84007-Photo Frame-Vintage_A_A4.jpg
38,"21,574",19051011,http://sbmedia.sbdesignsquare.com/cyber/images/mat/19051011_TMPN200171 -IT-VP-Livingroom-Thann 2S-Sofa-Vintage_A_A4.jpg
39,"22,535",19031669,http://sbmedia.sbdesignsquare.com/cyber/images/mat/19031669_TMPN100019-IT-SB-Bedroom-Exio100019-Bed-Modern Italian_A_A4.jpg
40,"29,176",19039978,http://sbmedia.sbdesignsquare.com/cyber/images/mat/19039978_TMPN200234-IT-SB-Diningroom-Lucazzo-A-Dining Table-Modern_A_A4.jpg
41,"22,193",19030468,http://sbmedia.sbdesignsquare.com/cyber/images/mat/19030468_TMPN500012-IT-SBDS-Home Decoration-M883-Glass-Modern_A_A4.JPG
42,"21,586",19051014,http://sbmedia.sbdesignsquare.com/cyber/images/mat/19051014_TMPN200174 -IT-VP-Livingroom-Tonio-Sofa-Vintage_A_A4.jpg
43,"29,739",59000180,http://sbmedia.sbdesignsquare.com/cyber/images/mat/59000180_TMPN100105-RT-SB-Livingroom-Metrio-Modern Italian_A_A4.jpg
44,"23,382",19042351,http://sbmedia.sbdesignsquare.com/cyber/images/mat/19042351_TMPN3000213-IT-KC-Bedroom-Contena-Wardrobe-Modern Contemporary_A_A4.jpg
45,"14,945",59000421,http://sbmedia.sbdesignsquare.com/cyber/images/mat/59000421_TMPN300018-RT-KC-Livingroom-LizzoOptimus1.2m-Modern Italian Contemporary_A_A4.jpg
46,"14,859",19045724,http://sbmedia.sbdesignsquare.com/cyber/images/mat/19045724_TMPN300125-IT-KC-Livingroom-Maximus-TV240-Moder_A_A4.jpg
47,"14,947",59000423,http://sbmedia.sbdesignsquare.com/cyber/images/mat/59000423_TMPN300020-RT-KC-Livingroom-Lizzo2.4m-Modern Italian Contemporary_A_A4.jpg
48,"14,969",59000440,http://sbmedia.sbdesignsquare.com/cyber/images/mat/59000440_TMPN3000168-RT-KC-Livingroom-Selector2.6m-ModernContemporary_A_A4.jpg
49,"31,937",25009946,http://sbmedia.sbdesignsquare.com/cyber/images/mat/25009946_NMI500284-IT-SBDS-Home Decoration-DE2799A-Zinc photo frame-Vintage_A_A4.jpg
50,"9,999",19000796,http://sbmedia.sbdesignsquare.com/cyber/images/mat/19000796_TMPN300210-IT-KC-Bedroom-Kitty-Night Table-Modern_A_A4.jpg
51,"22,320",19030665,http://sbmedia.sbdesignsquare.com/cyber/images/mat/19030665_TMP500048-IT-SBDS-Home Decoration-GB07172-Vase-Modern_A_A4.jpg
52,"156,080",19027039,http://sbmedia.sbdesignsquare.com/cyber/images/mat/19027039_TMPN0-IT-Koncept-Bedroom-Mirror-Contemporary_A_A4.jpg
53,"21,841",19023103,http://sbmedia.sbdesignsquare.com/cyber/images/mat/19023103_TMPN100086-IT-SB-Bedroom-DuronSpa100086-Bed-Modern  Italian_A_A4.jpg
